,feature len,auc,acc,acc_std,f1,sensitivity,specificity,PPV,NPV
0,1,0.6625850340136055,0.5835164835164834,0.09572291364058676,0.5711780947810359,0.6023809523809522,0.5642857142857143,0.6002777777777777,0.5862698412698413
1,2,0.7377551020408163,0.6593406593406592,0.0877593300418384,0.6533355614973262,0.6928571428571428,0.6261904761904762,0.6647222222222221,0.6841269841269841
2,3,0.713265306122449,0.6978021978021978,0.097638116741845,0.6933516483516484,0.7214285714285714,0.6738095238095239,0.705,0.7142460317460317
3,4,0.7428571428571429,0.6989010989010989,0.09886039048245683,0.6961996336996338,0.7214285714285713,0.680952380952381,0.7131349206349207,0.6958333333333333
4,5,0.7965986394557824,0.6967032967032967,0.06348736715983383,0.6893311916841328,0.7261904761904762,0.6714285714285715,0.7134523809523811,0.7134126984126984
5,6,0.8153061224489797,0.7192307692307692,0.06451723543339541,0.7114271839271838,0.7357142857142857,0.7023809523809523,0.7399458874458874,0.7405952380952382
6,7,0.8159863945578231,0.7346153846153846,0.07489252632272722,0.7297406759906759,0.7190476190476189,0.75,0.7624206349206349,0.7358333333333335
7,8,0.8377551020408165,0.7582417582417582,0.06557697358962694,0.755161505161505,0.7952380952380953,0.7166666666666666,0.7544047619047619,0.7733333333333333
8,9,0.8353741496598641,0.7582417582417582,0.06557697358962694,0.755161505161505,0.7952380952380953,0.7166666666666666,0.7544047619047619,0.7733333333333333
9,10,0.8459183673469388,0.7807692307692308,0.08800552116748565,0.777874209124209,0.8238095238095238,0.7333333333333334,0.7738095238095238,0.8058730158730159
10,11,0.8598639455782313,0.7813186813186814,0.11322177820953575,0.7794243256743256,0.8095238095238095,0.7523809523809524,0.7765873015873017,0.8059523809523809
11,12,0.875170068027211,0.8038461538461539,0.07036638617320527,0.8010718448218448,0.8547619047619047,0.75,0.7890873015873014,0.8421428571428573
12,13,0.8935374149659865,0.789010989010989,0.08142256506744046,0.7863673826173827,0.8261904761904763,0.7476190476190474,0.7831349206349205,0.8088095238095239
13,14,0.8928571428571429,0.8186813186813188,0.0876445869157905,0.8165892440892442,0.8404761904761905,0.7952380952380953,0.8236111111111111,0.8363492063492064
14,15,0.8972789115646259,0.8038461538461539,0.09431967704895444,0.8012068568686216,0.8095238095238095,0.7976190476190477,0.8218253968253968,0.8119047619047619
15,16,0.9010204081632655,0.8417582417582418,0.08078563371188408,0.8395387945387945,0.8547619047619047,0.8261904761904763,0.8533730158730158,0.853015873015873
16,17,0.9326530612244899,0.8560439560439562,0.0658729875828981,0.8546903096903098,0.8690476190476192,0.8428571428571429,0.8630952380952381,0.866309523809524
17,18,0.9435374149659864,0.8412087912087912,0.08126792792959973,0.8387154512154511,0.8357142857142857,0.8428571428571429,0.8657142857142859,0.8397619047619049
18,19,0.9435374149659864,0.8417582417582418,0.07218998699531144,0.8388844488844487,0.8357142857142857,0.8452380952380952,0.8661111111111112,0.8506349206349206
19,20,0.9568027210884354,0.8340659340659341,0.07568336449998504,0.8307242757242757,0.8214285714285714,0.8452380952380952,0.8661111111111112,0.8423015873015874
20,21,0.9551020408163267,0.8571428571428571,0.09509710612268986,0.855526973026973,0.8523809523809524,0.8642857142857142,0.8755952380952381,0.8585714285714285
21,22,0.9530612244897959,0.8565934065934065,0.07455134898059666,0.8552763902763904,0.8523809523809524,0.8619047619047618,0.8714285714285713,0.8619047619047618
22,23,0.9455782312925172,0.8412087912087912,0.08346706654435887,0.8380415417915417,0.8380952380952381,0.8452380952380952,0.8617063492063493,0.8552380952380952
23,24,0.9479591836734695,0.8489010989010989,0.08532715241975206,0.8463832001332001,0.8523809523809524,0.8452380952380952,0.8676587301587301,0.8603571428571428
24,25,0.9469387755102041,0.8642857142857142,0.08320946395000907,0.8623551448551448,0.880952380952381,0.8452380952380952,0.869047619047619,0.8772619047619047
25,26,0.9401360544217688,0.8565934065934065,0.1022512890611496,0.8539135864135863,0.8666666666666666,0.8452380952380952,0.8708333333333332,0.865595238095238
26,27,0.9448979591836736,0.8642857142857142,0.09774284462068206,0.8620737595737594,0.8666666666666666,0.8619047619047618,0.881547619047619,0.8689285714285713
27,28,0.9520408163265307,0.879120879120879,0.08855836925814346,0.8772993672993673,0.880952380952381,0.8738095238095237,0.8958333333333333,0.8790476190476191
28,29,0.9527210884353741,0.893956043956044,0.08231780692329514,0.8920383782883784,0.8976190476190476,0.8904761904761905,0.9117063492063492,0.905
