,feature len,auc,acc,acc_std,f1,sensitivity,specificity,PPV,NPV
0,1,0.5909821428571428,0.596969696969697,0.08396607046715313,0.4547128237259816,0.185,0.8464285714285715,0.41,0.641374458874459
1,2,0.6855357142857142,0.6818181818181819,0.07336282346633309,0.580515074450833,0.35,0.8642857142857142,0.5770833333333334,0.7053823953823953
2,3,0.7597321428571429,0.7068181818181818,0.10387662405566284,0.6603834332162506,0.52,0.8142857142857143,0.59,0.7513347763347763
3,4,0.8242410714285715,0.7742424242424242,0.10318368460219324,0.7414323176823177,0.635,0.8517857142857143,0.8096428571428571,0.8153427128427129
4,5,0.8277678571428572,0.7575757575757576,0.09027557036221959,0.721564203770086,0.595,0.8535714285714284,0.7671428571428571,0.7896284271284271
5,6,0.8154910714285715,0.7659090909090909,0.12196995838272172,0.7319133399280459,0.595,0.8642857142857142,0.7849999999999999,0.7842063492063491
6,7,0.8422767857142857,0.7742424242424243,0.12359814884420604,0.7482721281985988,0.615,0.8660714285714285,0.7899999999999999,0.7900396825396825
7,8,0.8348214285714285,0.7659090909090909,0.10858292220601014,0.7424422962658257,0.64,0.8410714285714285,0.7483333333333333,0.796984126984127
8,9,0.8373214285714287,0.7492424242424243,0.12311480155448334,0.702327877660695,0.585,0.8410714285714285,0.6804761904761905,0.7898124098124099
9,10,0.8324107142857142,0.7992424242424242,0.13651553455328796,0.7537574925074926,0.6599999999999999,0.8803571428571428,0.8092592592592592,0.8308982683982684
10,11,0.8254464285714287,0.8075757575757574,0.10345525356823732,0.776609476265049,0.635,0.9053571428571429,0.8516666666666666,0.8127669552669552
11,12,0.8483928571428573,0.7992424242424242,0.08851001095112063,0.7744514472455648,0.6599999999999999,0.8767857142857143,0.8138095238095238,0.8163095238095238
12,13,0.8691071428571429,0.7984848484848485,0.07995126563759551,0.7665220228687721,0.655,0.8767857142857143,0.8016666666666665,0.8248701298701299
13,14,0.858125,0.7901515151515152,0.0976100751079275,0.7567847920053803,0.615,0.8910714285714286,0.8266666666666665,0.803001443001443
14,15,0.8550000000000001,0.7901515151515152,0.08025775357863457,0.7627231673555203,0.635,0.8767857142857143,0.8066666666666666,0.8075793650793651
15,16,0.8732142857142857,0.8068181818181817,0.07866881057295563,0.7839722450751861,0.68,0.8767857142857143,0.8133333333333332,0.8283730158730158
16,17,0.8607142857142858,0.7893939393939394,0.09953467903898999,0.7578877331818509,0.615,0.8892857142857142,0.8099999999999999,0.8032142857142859
17,18,0.8604464285714286,0.8068181818181817,0.10401159255868166,0.781896918441036,0.6849999999999999,0.8767857142857143,0.7966666666666666,0.8357142857142856
18,19,0.8630357142857144,0.7727272727272727,0.10515486269523744,0.7415000930442106,0.61,0.8625,0.7416666666666667,0.7994444444444444
19,20,0.8792857142857142,0.8075757575757576,0.1034552535682373,0.774754982719379,0.6599999999999999,0.8910714285714285,0.8300000000000001,0.831060606060606
20,21,0.8694642857142856,0.7909090909090909,0.1119231119176394,0.7594772049416012,0.6599999999999999,0.8642857142857142,0.7633333333333333,0.8255050505050505
21,22,0.8671428571428571,0.7992424242424242,0.1183505874287928,0.7717286055018253,0.6849999999999999,0.8642857142857142,0.7816666666666666,0.8348304473304473
22,23,0.8595535714285715,0.7916666666666666,0.14299486306926387,0.7600922843066805,0.6599999999999999,0.8642857142857142,0.7583333333333333,0.8255050505050505
23,24,0.8660714285714286,0.7916666666666667,0.14299486306926387,0.7608716030271757,0.67,0.8660714285714285,0.7550000000000001,0.8255844155844155
24,25,0.8778571428571429,0.7909090909090909,0.12495280202706481,0.7571853464732722,0.645,0.8767857142857143,0.7716666666666667,0.8172510822510823
25,26,0.8747321428571428,0.7825757575757576,0.11823198883275472,0.7450471578644954,0.62,0.8767857142857143,0.7716666666666667,0.8083621933621934
26,27,0.8658928571428571,0.7659090909090909,0.14508449349966973,0.7279043007216381,0.6,0.8625,0.7516666666666667,0.7940764790764792
27,28,0.8630357142857144,0.7575757575757576,0.13766679970140414,0.7255466910110873,0.62,0.8375,0.7183333333333333,0.7957431457431458
28,29,0.8608928571428571,0.7833333333333334,0.14272480642961255,0.7502487618160992,0.645,0.8642857142857142,0.7566666666666666,0.8111002886002886
29,30,0.8699999999999999,0.7916666666666667,0.14299486306926387,0.7592644601700329,0.65,0.8785714285714284,0.765,0.8166558441558444
30,31,0.8697321428571427,0.7984848484848486,0.1187781724887591,0.7708450046685339,0.645,0.8910714285714285,0.8,0.8120238095238095
31,32,0.8697321428571427,0.7901515151515152,0.13131555941811043,0.7606862745098038,0.625,0.8910714285714285,0.79,0.8030952380952382
32,33,0.8757142857142858,0.7999999999999999,0.13721210039142742,0.7747140522875816,0.675,0.8785714285714284,0.77,0.8253174603174603
33,34,0.8663392857142858,0.7666666666666666,0.1405456737852613,0.7384838935574229,0.625,0.8535714285714284,0.73,0.7979365079365079
34,35,0.854642857142857,0.75,0.1469861839480328,0.7228338001867413,0.625,0.8267857142857142,0.6950000000000001,0.7911904761904762
35,36,0.8603571428571428,0.7583333333333333,0.13292762348894888,0.7298179271708682,0.625,0.8410714285714285,0.705,0.7965476190476191
36,37,0.8603571428571428,0.7583333333333333,0.13292762348894888,0.7298179271708682,0.625,0.8410714285714285,0.705,0.7965476190476191
37,38,0.8515178571428571,0.7575757575757576,0.12595923144787802,0.7314799253034547,0.625,0.8410714285714285,0.705,0.792936507936508
38,39,0.8483928571428571,0.7575757575757576,0.12595923144787802,0.7314799253034547,0.625,0.8410714285714285,0.705,0.792936507936508
39,40,0.8483928571428571,0.7575757575757576,0.12595923144787802,0.7314799253034547,0.625,0.8410714285714285,0.705,0.792936507936508
40,41,0.8483928571428571,0.7575757575757576,0.12595923144787802,0.7314799253034547,0.625,0.8410714285714285,0.705,0.792936507936508
41,42,0.8694642857142858,0.740909090909091,0.12584780341964025,0.7120599906629318,0.6,0.8267857142857142,0.6900000000000001,0.7792857142857142
42,43,0.8577678571428571,0.740909090909091,0.12584780341964025,0.7120599906629318,0.6,0.8267857142857142,0.6900000000000001,0.7792857142857142
43,44,0.8541071428571427,0.7575757575757576,0.13766679970140414,0.7337219887955182,0.65,0.8267857142857142,0.6966666666666667,0.8024603174603175
44,45,0.8515178571428571,0.7575757575757576,0.1130456024525222,0.7322280578898226,0.615,0.8392857142857142,0.7216666666666667,0.7863492063492064
45,46,0.8426785714285714,0.7575757575757576,0.1130456024525222,0.7322280578898226,0.615,0.8392857142857142,0.7216666666666667,0.7863492063492064
46,47,0.8634821428571428,0.740909090909091,0.09012003241695137,0.7144105975723622,0.6,0.8285714285714285,0.6783333333333335,0.7783730158730159
47,48,0.8634821428571428,0.740909090909091,0.09012003241695137,0.7144105975723622,0.6,0.8285714285714285,0.6783333333333335,0.7783730158730159
48,49,0.8634821428571428,0.740909090909091,0.09012003241695137,0.7144105975723622,0.6,0.8285714285714285,0.6783333333333335,0.7783730158730159
49,50,0.8634821428571428,0.740909090909091,0.09012003241695137,0.7144105975723622,0.6,0.8285714285714285,0.6783333333333335,0.7783730158730159
50,51,0.8634821428571428,0.740909090909091,0.09012003241695137,0.7144105975723622,0.6,0.8285714285714285,0.6783333333333335,0.7783730158730159
51,52,0.85125,0.7575757575757576,0.1060004639485624,0.7262126517273575,0.6,0.8553571428571429,0.6983333333333334,0.7884920634920635
52,53,0.8424107142857142,0.7575757575757576,0.09027557036221959,0.7271848739495799,0.595,0.8553571428571429,0.7016666666666667,0.7843253968253967
53,54,0.8424107142857142,0.7575757575757576,0.09027557036221959,0.7271848739495799,0.595,0.8553571428571429,0.7016666666666667,0.7843253968253967
54,55,0.8509821428571428,0.7825757575757576,0.07913756251384416,0.757545518207283,0.64,0.8678571428571429,0.7383333333333334,0.8051587301587301
55,56,0.845,0.7825757575757576,0.07913756251384416,0.757545518207283,0.64,0.8678571428571429,0.7383333333333334,0.8051587301587301
56,57,0.8452678571428571,0.7742424242424242,0.08695086552184784,0.7466774157215333,0.615,0.8660714285714285,0.7416666666666667,0.7944444444444444
57,58,0.8452678571428571,0.7825757575757575,0.08835136488575487,0.7547072943396472,0.615,0.8785714285714284,0.775,0.7966666666666666
58,59,0.8452678571428571,0.7825757575757575,0.08835136488575487,0.7547072943396472,0.615,0.8785714285714284,0.775,0.7966666666666666
59,60,0.8452678571428571,0.7825757575757575,0.08835136488575487,0.7547072943396472,0.615,0.8785714285714284,0.775,0.7966666666666666
60,61,0.8452678571428571,0.7825757575757575,0.08835136488575487,0.7547072943396472,0.615,0.8785714285714284,0.775,0.7966666666666666
61,62,0.8478571428571428,0.7659090909090909,0.12196995838272173,0.7407787229110758,0.615,0.85,0.7483333333333333,0.7871428571428571
62,63,0.839017857142857,0.7575757575757576,0.12595923144787805,0.7335308237514118,0.615,0.8375,0.7316666666666667,0.7843650793650794
63,64,0.8358928571428571,0.7575757575757576,0.12595923144787805,0.7335308237514118,0.615,0.8375,0.7316666666666667,0.7843650793650794
64,65,0.8358928571428571,0.7575757575757576,0.12595923144787805,0.7335308237514118,0.615,0.8375,0.7316666666666667,0.7843650793650794
65,66,0.829375,0.7575757575757576,0.12595923144787805,0.7335308237514118,0.615,0.8375,0.7316666666666667,0.7843650793650794
66,67,0.8353571428571428,0.7575757575757576,0.12595923144787805,0.7335308237514118,0.615,0.8375,0.7316666666666667,0.7843650793650794
67,68,0.8366964285714286,0.7492424242424243,0.10986735005775554,0.7207259570494864,0.5900000000000001,0.8392857142857142,0.7133333333333333,0.7766269841269842
68,69,0.8278571428571428,0.7409090909090909,0.11292143229901928,0.709892623716153,0.5700000000000001,0.8392857142857142,0.705,0.7682936507936508
69,70,0.8278571428571428,0.7409090909090909,0.11292143229901928,0.709892623716153,0.5700000000000001,0.8392857142857142,0.705,0.7682936507936508
70,71,0.8278571428571428,0.7409090909090909,0.11292143229901928,0.709892623716153,0.5700000000000001,0.8392857142857142,0.705,0.7682936507936508
71,72,0.8278571428571428,0.7409090909090909,0.11292143229901928,0.709892623716153,0.5700000000000001,0.8392857142857142,0.705,0.7682936507936508
72,73,0.825,0.7409090909090909,0.11292143229901928,0.709892623716153,0.5700000000000001,0.8392857142857142,0.705,0.7682936507936508
