,feature len,auc,acc,acc_std,f1,sensitivity,specificity,PPV,NPV
0,1,0.6948214285714286,0.656818181818182,0.1670507511929692,0.5763356088356089,0.33999999999999997,0.8357142857142857,0.5833333333333334,0.685
1,2,0.7305357142857143,0.7136363636363636,0.1387648665732149,0.6498832866479927,0.45499999999999996,0.8660714285714285,0.6574074074074073,0.7350252525252526
2,3,0.7717857142857143,0.6977272727272728,0.1115950206222977,0.6284302045563657,0.45499999999999996,0.8392857142857142,0.7060846560846561,0.7387590187590188
3,4,0.7925892857142858,0.7553030303030304,0.08704249115109934,0.7171118342441871,0.5900000000000001,0.8517857142857143,0.7338095238095238,0.7928174603174604
4,5,0.8022321428571428,0.7393939393939395,0.11423523452623786,0.7028552166787461,0.58,0.8392857142857142,0.685,0.7782142857142857
5,6,0.8489285714285714,0.7818181818181819,0.06923061662102081,0.7563760504201681,0.65,0.8678571428571429,0.76,0.8122619047619046
6,7,0.8446428571428571,0.7901515151515152,0.08025775357863456,0.7662371615312792,0.67,0.8678571428571429,0.7633333333333334,0.8211904761904762
7,8,0.8408928571428571,0.7742424242424243,0.10318368460219322,0.7492567808008983,0.645,0.8571428571428571,0.7733333333333332,0.8086507936507937
8,9,0.845,0.756818181818182,0.09861103027713032,0.729156407318172,0.62,0.8428571428571429,0.7283333333333333,0.7942063492063492
9,10,0.8660714285714285,0.8166666666666667,0.10243938285880987,0.7985028125469302,0.735,0.8678571428571429,0.7949999999999999,0.8521428571428572
10,11,0.8624107142857144,0.8,0.11915339216404008,0.7726797385620914,0.6849999999999999,0.8660714285714285,0.7938095238095239,0.8335317460317461
11,12,0.8795535714285714,0.7825757575757576,0.10436658196119207,0.750734126984127,0.665,0.8535714285714284,0.7588095238095238,0.8225649350649352
12,13,0.8941071428571428,0.825,0.09170874455121766,0.8013760504201681,0.6900000000000001,0.9089285714285715,0.8216666666666667,0.8398809523809522
13,14,0.9291964285714286,0.8833333333333334,0.07027283689263063,0.8715698762022293,0.8400000000000001,0.9107142857142858,0.8583333333333332,0.9166666666666667
14,15,0.9229464285714286,0.8916666666666666,0.0686060501957137,0.8798238444561974,0.8400000000000001,0.9232142857142858,0.8716666666666668,0.9166666666666667
15,16,0.9240178571428572,0.875,0.07081971546656644,0.8638131884455416,0.86,0.8821428571428571,0.8216666666666667,0.9273809523809524
16,17,0.9177678571428572,0.8583333333333334,0.07905694150420947,0.8455381301704831,0.82,0.8821428571428571,0.8133333333333332,0.9023809523809524
17,18,0.9089285714285715,0.8666666666666668,0.07027283689263063,0.8550619396942928,0.8400000000000001,0.8821428571428571,0.8183333333333334,0.9130952380952382
18,19,0.9026785714285716,0.875,0.07081971546656644,0.863315907948261,0.8400000000000001,0.8946428571428571,0.8316666666666667,0.9130952380952382
19,20,0.9024107142857144,0.8666666666666668,0.07027283689263063,0.8550619396942928,0.8400000000000001,0.8821428571428571,0.8183333333333334,0.9130952380952382
20,21,0.9430357142857144,0.8666666666666666,0.0805076485899413,0.853294817927171,0.8,0.9089285714285715,0.8433333333333334,0.8898809523809523
21,22,0.9370535714285715,0.8325757575757574,0.11727888255016364,0.8188674315880199,0.78,0.8696428571428572,0.7883333333333333,0.8751984126984127
22,23,0.9427678571428573,0.875,0.11283386673105499,0.8660434989846755,0.8400000000000001,0.8964285714285716,0.85,0.9099206349206348
23,24,0.9458928571428572,0.8916666666666668,0.08827915878928169,0.8817391921803687,0.86,0.9071428571428571,0.8566666666666667,0.9259920634920634
24,25,0.9458928571428572,0.8833333333333332,0.08958064164776165,0.8718780810692575,0.835,0.9071428571428571,0.8516666666666666,0.9134920634920635
25,26,0.9817857142857143,0.9333333333333333,0.08606629658238704,0.9247432306255835,0.905,0.9482142857142858,0.9066666666666666,0.9523809523809523
26,27,0.9817857142857143,0.925,0.0828690771676461,0.9158543417366947,0.885,0.9482142857142858,0.9066666666666666,0.9398809523809524
27,28,0.9724107142857144,0.925,0.09170874455121765,0.9164892623716152,0.905,0.9357142857142857,0.8933333333333333,0.9523809523809523
28,29,0.9724107142857144,0.925,0.09170874455121765,0.9164892623716152,0.905,0.9357142857142857,0.8933333333333333,0.9523809523809523
29,30,0.9724107142857144,0.925,0.1072236614756599,0.9105508870214752,0.8800000000000001,0.9482142857142858,0.89,0.9446031746031747
30,31,0.9758035714285714,0.9083333333333332,0.08286907716764609,0.8920634095866294,0.8800000000000001,0.9196428571428571,0.8933333333333333,0.9473304473304474
31,32,0.9635714285714286,0.9083333333333332,0.08286907716764609,0.8920634095866294,0.8800000000000001,0.9196428571428571,0.8933333333333333,0.9473304473304474
32,33,0.9635714285714286,0.9083333333333332,0.08286907716764609,0.8920634095866294,0.8800000000000001,0.9196428571428571,0.8933333333333333,0.9473304473304474
33,34,0.9755357142857143,0.9,0.07657804862272344,0.8831745206977406,0.8800000000000001,0.9071428571428571,0.8733333333333334,0.9473304473304474
34,35,0.9692857142857143,0.8916666666666666,0.07905694150420947,0.8744232719464918,0.86,0.9071428571428571,0.8699999999999999,0.9330447330447329
35,36,0.9633035714285715,0.9,0.07657804862272344,0.8831745206977406,0.8800000000000001,0.9071428571428571,0.8733333333333334,0.9473304473304474
36,37,0.9604464285714286,0.8916666666666666,0.07905694150420947,0.8744232719464918,0.86,0.9071428571428571,0.8699999999999999,0.9330447330447329
37,38,0.9573214285714287,0.8916666666666666,0.08827915878928168,0.8705625574975422,0.85,0.9071428571428571,0.8633333333333333,0.9393939393939392
38,39,0.9658928571428571,0.9,0.07657804862272345,0.8820646583378782,0.875,0.9071428571428571,0.8716666666666667,0.9491161616161616
39,40,0.9596428571428571,0.9,0.07657804862272345,0.8820646583378782,0.875,0.9071428571428571,0.8716666666666667,0.9491161616161616
40,41,0.9596428571428571,0.9,0.07657804862272345,0.8820646583378782,0.875,0.9071428571428571,0.8716666666666667,0.9491161616161616
41,42,0.9658928571428571,0.9083333333333332,0.07296625298090943,0.8907306247244329,0.875,0.9196428571428571,0.8966666666666667,0.9505050505050505
42,43,0.9627678571428572,0.9166666666666667,0.06804138174397716,0.9078212065712066,0.925,0.9071428571428571,0.8716666666666667,0.9675
43,44,0.971875,0.925,0.07296625298090942,0.916212814962815,0.925,0.9214285714285715,0.8883333333333333,0.9675
44,45,0.965625,0.925,0.07296625298090942,0.9157155344655346,0.905,0.9357142857142857,0.905,0.9550000000000001
45,46,0.9596428571428571,0.9166666666666666,0.06804138174397714,0.9056315008520892,0.8800000000000001,0.9357142857142857,0.905,0.943888888888889
46,47,0.9625,0.925,0.07296625298090942,0.9157155344655346,0.905,0.9357142857142857,0.905,0.9550000000000001
47,48,0.965625,0.925,0.07296625298090942,0.9157155344655346,0.905,0.9357142857142857,0.905,0.9550000000000001
48,49,0.965625,0.925,0.07296625298090942,0.9157155344655346,0.905,0.9357142857142857,0.905,0.9550000000000001
49,50,0.965625,0.9166666666666667,0.06804138174397716,0.9068266455766457,0.885,0.9357142857142857,0.905,0.9425000000000001
