,feature len,auc,acc,acc_std,f1,sensitivity,specificity,PPV,NPV
0,1,0.6028125,0.6727272727272727,0.14823038733614471,0.631067151802446,0.45999999999999996,0.7946428571428572,0.645,0.7083730158730159
1,2,0.7181249999999999,0.6810606060606061,0.16949129250458267,0.6371076635782518,0.485,0.7982142857142857,0.585,0.7256168831168831
2,3,0.7308035714285714,0.6568181818181819,0.16236607896230074,0.6093802521008402,0.41500000000000004,0.8,0.635,0.6942316017316018
3,4,0.7178571428571429,0.6977272727272728,0.11830747442251591,0.6545074696545286,0.45999999999999996,0.8375,0.6666666666666667,0.7208333333333333
4,5,0.7608928571428573,0.7242424242424244,0.1293659042796155,0.6814355742296918,0.485,0.8625,0.7,0.7361111111111112
5,6,0.7644642857142857,0.7318181818181818,0.10089640065399831,0.6931022408963586,0.51,0.8642857142857142,0.7083333333333333,0.7476587301587301
6,7,0.7386607142857142,0.696969696969697,0.09941929133853294,0.6547549019607842,0.48,0.8214285714285714,0.6266666666666667,0.7267460317460317
7,8,0.7474107142857143,0.706060606060606,0.14243856937754537,0.648674504889675,0.465,0.8535714285714284,0.6962962962962963,0.7317063492063492
8,9,0.76125,0.740909090909091,0.13183656360089044,0.7017075163398692,0.53,0.8660714285714285,0.7016666666666667,0.7580952380952382
9,10,0.8088392857142856,0.7909090909090909,0.1119231119176394,0.7490520418693792,0.5650000000000001,0.9178571428571429,0.8366666666666667,0.7861399711399712
10,11,0.7834821428571429,0.7742424242424242,0.1171891314123085,0.7402929505135386,0.55,0.9035714285714285,0.8266666666666665,0.7697619047619046
11,12,0.8070535714285715,0.7666666666666666,0.12909944487358058,0.7312371615312792,0.5549999999999999,0.8892857142857142,0.7766666666666666,0.7717063492063492
12,13,0.7796428571428572,0.7484848484848485,0.1292968749397951,0.7040114379084967,0.51,0.8892857142857142,0.7383333333333333,0.758095238095238
13,14,0.8039285714285714,0.7583333333333334,0.1269903272295829,0.714781500319426,0.53,0.8910714285714285,0.7899999999999999,0.7645923520923521
14,15,0.7984821428571428,0.7825757575757576,0.1245873711894261,0.7523237628384687,0.575,0.9071428571428571,0.8316666666666667,0.7797619047619048
15,16,0.7734821428571429,0.7575757575757576,0.11304560245252218,0.6994873826723673,0.45999999999999996,0.9321428571428572,0.8333333333333333,0.7474747474747475
16,17,0.7683928571428572,0.7401515151515151,0.1195727736533838,0.686922023195243,0.48,0.8910714285714286,0.79,0.7458874458874458
17,18,0.7982142857142857,0.7583333333333333,0.13292762348894888,0.7142417704414608,0.55,0.875,0.7666666666666666,0.7738383838383839
18,19,0.7797321428571429,0.7575757575757576,0.12595923144787802,0.7049437318787163,0.5,0.9035714285714285,0.8116666666666668,0.7583874458874459
19,20,0.7942857142857143,0.7575757575757576,0.1060004639485624,0.7072549011016502,0.5050000000000001,0.9035714285714285,0.8166666666666667,0.7608080808080808
20,21,0.7841964285714286,0.7742424242424243,0.11718913141230848,0.7265524499580227,0.545,0.9035714285714285,0.8216666666666667,0.7768001443001443
21,22,0.775625,0.740909090909091,0.153472209237583,0.6927298020177276,0.525,0.8607142857142858,0.735,0.7601082251082252
22,23,0.7951785714285714,0.7234848484848484,0.14608318489298733,0.6786729683285411,0.525,0.8321428571428571,0.7011904761904761,0.7495526695526695
23,24,0.7725892857142858,0.7151515151515151,0.11083528666137536,0.6681234116760433,0.5,0.8357142857142857,0.6766666666666666,0.7426479076479076
24,25,0.7875892857142858,0.7734848484848486,0.11067695251302158,0.7386605388075976,0.5900000000000001,0.875,0.7683333333333333,0.7882539682539682
25,26,0.7842857142857144,0.7060606060606062,0.14243856937754537,0.6555763182465968,0.48,0.8339285714285714,0.6861904761904762,0.7302669552669553
26,27,0.8091071428571428,0.7568181818181818,0.13206129135758576,0.714135562150268,0.5650000000000001,0.8607142857142858,0.7566666666666666,0.7776984126984127
27,28,0.7883035714285714,0.7151515151515151,0.10364000623681013,0.6684667937841311,0.5,0.8375,0.715,0.7438780663780664
28,29,0.7946428571428572,0.740909090909091,0.1318365636008904,0.6978804846684102,0.525,0.8625,0.7483333333333333,0.7573701298701299
29,30,0.7979464285714286,0.7401515151515152,0.10588308857450715,0.6839878495257752,0.45499999999999996,0.9035714285714285,0.7666666666666666,0.7396717171717173
30,31,0.8143749999999998,0.7575757575757576,0.11304560245252218,0.7082119514472455,0.485,0.9196428571428571,0.8083333333333332,0.7528030303030303
31,32,0.7935714285714286,0.7318181818181817,0.12169516545270717,0.6792658730158729,0.44000000000000006,0.9053571428571429,0.7666666666666666,0.7302777777777777
32,33,0.7883928571428572,0.7568181818181818,0.09861103027713032,0.7104100710950556,0.54,0.8767857142857143,0.8133333333333332,0.7715223665223665
33,34,0.7938392857142857,0.7318181818181818,0.1394250441068297,0.6895424836601307,0.53,0.8482142857142858,0.6988095238095238,0.7593253968253968
34,35,0.7831250000000001,0.740909090909091,0.13756485517251432,0.6917753724603569,0.505,0.8767857142857143,0.78,0.753466810966811
35,36,0.817767857142857,0.7659090909090909,0.12196995838272172,0.7138688019067276,0.5,0.9178571428571429,0.7966666666666666,0.762886002886003
36,37,0.7982142857142858,0.7325757575757577,0.13381694129737795,0.6816970121381886,0.465,0.8910714285714285,0.7266666666666667,0.7389285714285714
37,38,0.8096428571428571,0.7742424242424242,0.1296908334241774,0.7368230625583566,0.55,0.9053571428571429,0.7916666666666666,0.7741666666666667
38,39,0.8190178571428571,0.7734848484848486,0.13572850593645563,0.719766327583665,0.5,0.9339285714285716,0.85,0.7663636363636364
39,40,0.8002678571428572,0.75,0.14163943093313291,0.7034990654340499,0.53,0.8767857142857143,0.79,0.7651731601731602
40,41,0.8304464285714286,0.7651515151515151,0.11566648980402813,0.7195434050813307,0.525,0.9053571428571429,0.8016666666666665,0.767886002886003
41,42,0.8116964285714285,0.7484848484848485,0.11675299617616072,0.6955894024276377,0.48,0.9053571428571429,0.79,0.7518903318903318
42,43,0.8163392857142856,0.7575757575757576,0.12595923144787802,0.720417384902679,0.5549999999999999,0.8767857142857143,0.7566666666666666,0.7733730158730159
43,44,0.7805357142857143,0.7401515151515151,0.15348259659786387,0.6936823062558356,0.5,0.8785714285714284,0.7683333333333333,0.7533982683982683
44,45,0.8122321428571428,0.7575757575757576,0.14845392380504108,0.7046764583026193,0.5,0.9053571428571429,0.7633333333333333,0.762886002886003
45,46,0.7958928571428572,0.7568181818181817,0.11318372252847816,0.7213153594771242,0.545,0.8785714285714284,0.7783333333333333,0.7653571428571428
46,47,0.8316964285714287,0.7575757575757576,0.12595923144787802,0.7152301701566406,0.525,0.8928571428571429,0.7666666666666666,0.7658333333333333
47,48,0.823392857142857,0.7742424242424242,0.1296908334241774,0.7407072829131651,0.5700000000000001,0.8910714285714285,0.7716666666666667,0.7796031746031746
48,49,0.8055357142857142,0.7318181818181818,0.13377642934257214,0.6833709264591616,0.48,0.8767857142857143,0.725,0.7449999999999999
49,50,0.8176785714285714,0.7734848484848484,0.11067695251302158,0.7242096048945893,0.515,0.9178571428571429,0.8133333333333332,0.7695526695526695
50,51,0.8134821428571428,0.7734848484848486,0.13572850593645563,0.7359605508870215,0.5700000000000001,0.8928571428571429,0.7633333333333333,0.784047619047619
51,52,0.7872321428571428,0.7651515151515151,0.09353666251238454,0.7222770774976656,0.54,0.8910714285714285,0.7797619047619048,0.7799999999999999
52,53,0.7888392857142857,0.7575757575757576,0.11967672334416954,0.7033354218880534,0.4800000000000001,0.9196428571428571,0.7966666666666666,0.7559415584415585
53,54,0.8175000000000001,0.7568181818181818,0.09044846828871067,0.7030310448924999,0.4800000000000001,0.9178571428571429,0.8166666666666667,0.7549494949494949
54,55,0.8171428571428571,0.7401515151515152,0.1483701370959783,0.700594070961718,0.545,0.8535714285714284,0.7000000000000001,0.7675793650793651
55,56,0.7802678571428572,0.7659090909090909,0.15535742662371219,0.7146146002260553,0.525,0.9071428571428571,0.7633333333333333,0.7751082251082251
56,57,0.8170535714285714,0.7818181818181817,0.14754045858577935,0.7380520541549953,0.545,0.9214285714285715,0.8333333333333333,0.7805808080808081
57,58,0.7982142857142857,0.7568181818181818,0.11980719895710247,0.6957899036807704,0.45499999999999996,0.9339285714285716,0.825,0.7499747474747475
58,59,0.780625,0.7477272727272728,0.09649306789516666,0.6988886431765688,0.495,0.8910714285714286,0.755,0.7551082251082252
59,60,0.7794642857142857,0.7659090909090909,0.13966495758604766,0.7211111102519772,0.5549999999999999,0.8910714285714285,0.7583333333333333,0.7802272727272727
60,61,0.7891964285714286,0.7393939393939394,0.10726825686437415,0.6774894949391854,0.45,0.9035714285714285,0.7833333333333333,0.7430050505050506
61,62,0.8054464285714286,0.7484848484848484,0.07691042018734882,0.6965718831392205,0.475,0.9053571428571429,0.7916666666666666,0.7482828282828283
62,63,0.7982142857142857,0.7484848484848485,0.15631292733460359,0.7043741707209199,0.52,0.8803571428571428,0.755,0.7614971139971141
63,64,0.7836607142857143,0.7484848484848485,0.1292968749397951,0.7034652194211016,0.505,0.8928571428571429,0.75,0.7561111111111111
64,65,0.7665178571428573,0.7242424242424244,0.11002684927077123,0.6849045399045398,0.52,0.8375,0.6916666666666667,0.7508333333333334
65,66,0.8,0.7568181818181817,0.11318372252847814,0.7145214752567692,0.505,0.9053571428571429,0.7916666666666666,0.7547222222222223
66,67,0.8046428571428571,0.7818181818181817,0.10471732322734191,0.7436522056374997,0.5599999999999999,0.9053571428571429,0.8083333333333332,0.783611111111111
67,68,0.8160714285714284,0.7401515151515152,0.10588308857450718,0.6896848739495798,0.475,0.8946428571428571,0.7533333333333333,0.7471428571428571
68,69,0.8012499999999999,0.7734848484848486,0.09572339350693339,0.7238202728643904,0.515,0.9196428571428571,0.8,0.7719444444444445
69,70,0.7800892857142857,0.7818181818181817,0.09706960341608692,0.7326015406162465,0.515,0.9321428571428572,0.8216666666666667,0.7737698412698413
70,71,0.7932142857142856,0.7227272727272728,0.08785556409723043,0.664453780653471,0.47000000000000003,0.8660714285714285,0.7516666666666667,0.7444588744588745
71,72,0.7803571428571429,0.7393939393939395,0.15444143855541825,0.6926762371615314,0.495,0.8803571428571428,0.7083333333333333,0.7516666666666667
72,73,0.774375,0.7651515151515151,0.13419525510693356,0.7247889936860524,0.545,0.8928571428571429,0.7666666666666666,0.7747222222222222
73,74,0.7929464285714285,0.7575757575757576,0.09845246812938348,0.7006430897104272,0.475,0.9178571428571429,0.8,0.7557828282828283
74,75,0.7946428571428572,0.681060606060606,0.10840659386263682,0.606469175389454,0.365,0.8660714285714285,0.7321428571428571,0.7038636363636364
75,76,0.8225892857142856,0.7568181818181818,0.13206129135758576,0.7092296910176167,0.515,0.8928571428571429,0.7833333333333333,0.7655050505050506
76,77,0.7800892857142857,0.7568181818181818,0.12608320585426888,0.6964586711877733,0.45499999999999996,0.9357142857142857,0.8333333333333333,0.7499747474747475
77,78,0.7809821428571428,0.7143939393939394,0.13102386554172396,0.6604911174996314,0.45499999999999996,0.8660714285714285,0.7266666666666667,0.7311002886002886
78,79,0.7814285714285715,0.7568181818181818,0.11318372252847815,0.7043648336527594,0.495,0.9053571428571429,0.7849999999999999,0.759592352092352
79,80,0.7828571428571428,0.7484848484848485,0.10994567858523312,0.6875359354268022,0.45,0.9196428571428571,0.7883333333333333,0.7467748917748918
80,81,0.7644642857142857,0.7318181818181818,0.1216951654527072,0.6817798777589799,0.49000000000000005,0.8642857142857142,0.73,0.7509415584415584
81,82,0.8159821428571428,0.7318181818181818,0.11518030829103805,0.6844035947712418,0.495,0.8625,0.7371428571428572,0.7504365079365078
82,83,0.7737499999999999,0.7234848484848485,0.10991377370111295,0.6656463462578013,0.45,0.8803571428571428,0.7133333333333333,0.7387193362193363
83,84,0.8107142857142857,0.7643939393939394,0.135446316007291,0.709969654528478,0.495,0.9196428571428571,0.78,0.7643253968253968
84,85,0.7792857142857142,0.7143939393939395,0.08892690302847901,0.6516059748644888,0.43,0.8785714285714287,0.7416666666666667,0.7313636363636363
85,86,0.7794642857142857,0.7393939393939395,0.13864533282241204,0.683971755368814,0.465,0.8964285714285716,0.755,0.7479365079365079
86,87,0.7869642857142857,0.7484848484848484,0.12929687493979514,0.7003256302521008,0.48,0.9071428571428571,0.7666666666666667,0.7491666666666666
87,88,0.7724107142857143,0.7393939393939395,0.09176088043188634,0.6730798196471571,0.425,0.9214285714285715,0.8300000000000001,0.7381890331890333
88,89,0.7439285714285715,0.7060606060606062,0.14243856937754537,0.6398013415892672,0.40499999999999997,0.8803571428571428,0.7466666666666667,0.7206890331890332
89,90,0.802142857142857,0.7318181818181818,0.1216951654527072,0.6732282904573925,0.45,0.8928571428571429,0.7833333333333333,0.7399747474747475
90,91,0.7919642857142858,0.7393939393939394,0.11423523452623786,0.6763270299531909,0.44000000000000006,0.9071428571428571,0.8083333333333332,0.7427272727272728
91,92,0.8023214285714285,0.7310606060606061,0.15101981320749408,0.6798240076916547,0.5,0.8660714285714285,0.7216666666666667,0.756547619047619
92,93,0.8106249999999999,0.7060606060606062,0.12513639125646933,0.6444304379830695,0.425,0.8678571428571429,0.7083333333333333,0.7263383838383838
93,94,0.7516964285714286,0.706060606060606,0.1311576390959954,0.6445763296730789,0.43,0.8678571428571429,0.7416666666666666,0.7271969696969698
94,95,0.7844642857142857,0.7060606060606062,0.06968964974004178,0.6262462528871197,0.34500000000000003,0.9214285714285715,0.7833333333333333,0.7058080808080808
95,96,0.7540178571428572,0.7484848484848485,0.07691042018734885,0.6945730739848386,0.47000000000000003,0.9071428571428571,0.7833333333333333,0.7505555555555555
96,97,0.780625,0.7143939393939395,0.08892690302847901,0.6476129662391272,0.40499999999999997,0.8946428571428571,0.7816666666666666,0.7208477633477633
97,98,0.7809821428571428,0.7484848484848485,0.1461071918107615,0.6937140637140636,0.495,0.8946428571428571,0.7583333333333333,0.7614141414141414
98,99,0.8189285714285713,0.7651515151515151,0.1398269515142134,0.7081498476583615,0.495,0.9214285714285715,0.8133333333333332,0.7673556998556998
99,100,0.774375,0.7318181818181817,0.12787854851813493,0.6806069094304388,0.45499999999999996,0.8946428571428571,0.775,0.7361363636363636
100,101,0.795625,0.7234848484848485,0.0948399593849188,0.6495880010082795,0.385,0.9196428571428571,0.8,0.7241414141414142
101,102,0.7466964285714286,0.740909090909091,0.153472209237583,0.6906687666478687,0.495,0.8803571428571428,0.7416666666666666,0.7557828282828283
102,103,0.7928571428571429,0.7393939393939395,0.09176088043188634,0.6746869625042999,0.445,0.9071428571428571,0.8099999999999999,0.7461255411255412
103,104,0.8091071428571428,0.7393939393939395,0.12080107070637983,0.6778092903828197,0.44000000000000006,0.9089285714285715,0.7716666666666667,0.7423809523809524
104,105,0.7914285714285715,0.7575757575757576,0.13194293411730434,0.7019173546611628,0.48,0.9196428571428571,0.78,0.7570526695526696
105,106,0.8030357142857143,0.7984848484848485,0.09735822836381001,0.7502413509263354,0.5349999999999999,0.9482142857142858,0.875,0.7843939393939394
106,107,0.7782142857142857,0.7818181818181819,0.09706960341608693,0.7284649737087816,0.495,0.9464285714285715,0.8416666666666666,0.7655050505050506
107,108,0.796875,0.7143939393939395,0.13678619527583538,0.650329130793527,0.42000000000000004,0.8821428571428571,0.7833333333333333,0.7288636363636364
108,109,0.74125,0.7060606060606062,0.15288939073529015,0.6433494274902944,0.425,0.8678571428571429,0.71,0.728044733044733
109,110,0.76375,0.7227272727272729,0.11786195165962339,0.6567112625936155,0.42000000000000004,0.8946428571428571,0.7333333333333333,0.7341666666666666
110,111,0.7853571428571428,0.7393939393939395,0.0998161763151552,0.6785224089635854,0.43000000000000005,0.9214285714285715,0.8133333333333332,0.7373809523809524
111,112,0.7694642857142857,0.7227272727272729,0.09623829809065503,0.6514936851933756,0.4050000000000001,0.9071428571428571,0.7466666666666667,0.728997113997114
112,113,0.7603571428571428,0.6977272727272728,0.09678341218723709,0.6274040493390339,0.38,0.8803571428571428,0.6966666666666667,0.7128860028860029
113,114,0.7892857142857144,0.7401515151515151,0.09013772069999616,0.6845422379478106,0.475,0.8928571428571429,0.7466666666666667,0.7503860028860029
114,115,0.7764285714285715,0.7310606060606062,0.10228052096504361,0.6638071895424835,0.425,0.9071428571428571,0.755,0.7365728715728717
115,116,0.7466964285714286,0.7310606060606062,0.0944356664207836,0.6584427981719003,0.40499999999999997,0.9214285714285715,0.7916666666666666,0.7316414141414141
116,117,0.7539285714285715,0.7060606060606062,0.1311576390959954,0.6436356209150327,0.42000000000000004,0.8696428571428572,0.6716666666666666,0.7268253968253969
117,118,0.7523214285714286,0.7143939393939395,0.11866268827398671,0.6475721165659246,0.4050000000000001,0.8928571428571429,0.73,0.723997113997114
118,119,0.79125,0.7310606060606061,0.1289734254606489,0.6612068152006232,0.425,0.9053571428571429,0.75,0.7391161616161617
119,120,0.7919642857142857,0.7575757575757576,0.13766679970140414,0.7051234704408078,0.47000000000000003,0.9232142857142858,0.825,0.7513383838383839
120,121,0.7608035714285715,0.7227272727272729,0.10394719763384191,0.653609943977591,0.4,0.9089285714285715,0.7633333333333333,0.7271284271284272
121,122,0.7569642857142858,0.7310606060606061,0.11639469370193449,0.67453173374613,0.445,0.8946428571428571,0.7833333333333333,0.7360606060606061
122,123,0.8061607142857143,0.7310606060606061,0.13482341915111326,0.6701643201140104,0.43000000000000005,0.9089285714285715,0.7916666666666666,0.7332828282828283
123,124,0.7701785714285714,0.7310606060606062,0.1458210345069709,0.6663221165659247,0.43499999999999994,0.9071428571428571,0.7716666666666667,0.7387193362193363
124,125,0.7645535714285714,0.7310606060606061,0.12897342546064894,0.6661913976116762,0.45,0.8928571428571429,0.7904761904761906,0.7441414141414142
