,feature len,auc,acc,acc_std,f1,sensitivity,specificity,PPV,NPV
0,1,0.6948214285714286,0.621969696969697,0.12501657884139045,0.47669246646026825,0.155,0.8910714285714285,0.41666666666666663,0.6445454545454545
1,2,0.6584821428571429,0.690909090909091,0.1748379517043944,0.5915744631185808,0.32999999999999996,0.9017857142857142,0.65625,0.6976010101010102
2,3,0.7508928571428573,0.6901515151515152,0.10210579967420792,0.5924684654870414,0.37,0.8803571428571428,0.6270833333333333,0.7140728715728716
3,4,0.7505357142857143,0.715909090909091,0.11101062949663267,0.6516456582633052,0.45999999999999996,0.8678571428571429,0.6777777777777777,0.7389285714285715
4,5,0.7722321428571429,0.7151515151515151,0.07817685887228021,0.6613888888888888,0.505,0.8410714285714285,0.6703703703703704,0.7492063492063492
5,6,0.75375,0.7234848484848485,0.0948399593849188,0.6602742763772176,0.48,0.8660714285714285,0.6777777777777777,0.7476587301587301
6,7,0.7661607142857143,0.7818181818181819,0.06923061662102081,0.7401223033072877,0.595,0.8946428571428571,0.8233333333333333,0.8022366522366523
7,8,0.8099107142857143,0.7901515151515152,0.10521851851797977,0.7470690820187723,0.5700000000000001,0.9196428571428571,0.8133333333333332,0.7924494949494949
8,9,0.8215178571428572,0.7568181818181818,0.08147217647289591,0.7186785591429554,0.5700000000000001,0.8660714285714285,0.7483333333333333,0.7788780663780663
9,10,0.8330803571428571,0.815909090909091,0.11583451970597858,0.7863842203548085,0.64,0.9214285714285715,0.8400000000000001,0.81765873015873
10,11,0.8375,0.7992424242424243,0.15750977963460808,0.769876283846872,0.665,0.8839285714285715,0.76,0.8252777777777777
11,12,0.8584821428571429,0.8075757575757576,0.15181787939242844,0.7763001867413631,0.64,0.9089285714285715,0.79,0.816547619047619
12,13,0.8457142857142858,0.8159090909090908,0.1343401116016522,0.7810041033957443,0.6599999999999999,0.9089285714285715,0.765,0.828517316017316
13,14,0.8920535714285714,0.8068181818181817,0.10401159255868166,0.7627011155339327,0.605,0.9232142857142858,0.7816666666666666,0.8126839826839827
14,15,0.9022321428571429,0.8325757575757576,0.08707179098905822,0.7898015873015873,0.655,0.9357142857142857,0.8777777777777778,0.8351587301587301
15,16,0.8959821428571428,0.8325757575757576,0.08707179098905822,0.8068489843489843,0.705,0.9107142857142858,0.8371428571428572,0.8527777777777779
16,17,0.9529464285714286,0.8492424242424242,0.07587953146654294,0.8204584377610693,0.6849999999999999,0.9482142857142858,0.9166666666666666,0.8457828282828282
17,18,0.9472321428571429,0.8492424242424242,0.07587953146654294,0.8088492063492063,0.705,0.9375,0.9037037037037037,0.8647222222222222
18,19,0.9472321428571429,0.8575757575757577,0.0784699620581897,0.8171031746031747,0.705,0.95,0.9185185185185184,0.8647222222222222
19,20,0.944375,0.8325757575757576,0.08707179098905822,0.7898015873015873,0.6599999999999999,0.9357142857142857,0.8833333333333333,0.837936507936508
20,21,0.9500892857142859,0.840909090909091,0.08213866650146763,0.7993253968253968,0.6849999999999999,0.9357142857142857,0.8907407407407406,0.8522222222222222
21,22,0.9407142857142858,0.8242424242424242,0.0819676898128014,0.7944266917293232,0.6599999999999999,0.9214285714285715,0.875,0.8279256854256853
22,23,0.9404464285714287,0.8325757575757574,0.10328560664065763,0.8033155806182123,0.6799999999999999,0.9214285714285715,0.8699999999999999,0.8394336219336219
23,24,0.9282142857142859,0.8492424242424242,0.08544538122172135,0.8266071428571429,0.705,0.9357142857142857,0.885,0.8502777777777777
24,25,0.9347321428571428,0.8409090909090908,0.09916239351551447,0.8189880952380953,0.705,0.9214285714285715,0.8699999999999999,0.8467063492063491
25,26,0.9392857142857143,0.815909090909091,0.09374436690215106,0.7691071428571428,0.605,0.9357142857142857,0.8611111111111112,0.8119444444444444
26,27,0.9273214285714285,0.8409090909090908,0.060500750256115836,0.8182155344655344,0.7,0.9214285714285715,0.8683333333333334,0.8484920634920634
27,28,0.9241964285714286,0.8242424242424242,0.0819676898128014,0.7928195488721805,0.655,0.9214285714285715,0.86,0.8287193362193364
28,29,0.9193749999999999,0.8325757575757576,0.06704533565398729,0.8119060106560105,0.725,0.8964285714285716,0.845,0.8592063492063492
29,30,0.915982142857143,0.840909090909091,0.072135640692352,0.8224370564076446,0.725,0.9089285714285715,0.8533333333333333,0.8555952380952381
30,31,0.919107142857143,0.8575757575757577,0.05541764333068766,0.8398775325981209,0.75,0.9232142857142858,0.885,0.8726587301587301
31,32,0.9250892857142858,0.840909090909091,0.09104927463292901,0.8237419116830882,0.725,0.9089285714285715,0.8433333333333334,0.8537698412698413
32,33,0.9188392857142859,0.840909090909091,0.09104927463292901,0.8237419116830882,0.725,0.9089285714285715,0.8433333333333334,0.8537698412698413
33,34,0.9219642857142858,0.8234848484848485,0.08283829084646935,0.8014403243815009,0.6799999999999999,0.9089285714285715,0.8433333333333334,0.8343253968253969
34,35,0.9188392857142859,0.85,0.10243938285880987,0.8301342203548085,0.725,0.9232142857142858,0.865,0.8583730158730158
35,36,0.9279464285714287,0.8333333333333333,0.09622504486493763,0.8101272991714168,0.705,0.9089285714285715,0.8300000000000001,0.85015873015873
36,37,0.9201339285714287,0.85,0.07657804862272344,0.8325759452965336,0.75,0.9089285714285715,0.8583333333333334,0.8690873015873016
