,feature len,auc,acc,acc_std,f1,sensitivity,specificity,PPV,NPV
0,1,0.6640625,0.6803030303030304,0.11740659148319427,0.6340843706517081,0.515,0.7696428571428571,0.6375,0.7299891774891775
1,2,0.6969642857142858,0.6727272727272728,0.1429301852418875,0.6129445717681012,0.495,0.7696428571428571,0.5575,0.7304184704184704
2,3,0.7069642857142858,0.6803030303030304,0.18397292224336542,0.6395343137254902,0.5900000000000001,0.7285714285714285,0.5697619047619048,0.7460137085137085
3,4,0.7099107142857143,0.6886363636363637,0.10554528489010978,0.6544105975723623,0.585,0.7464285714285713,0.5635714285714286,0.7768253968253969
4,5,0.7441964285714285,0.6886363636363637,0.1192737478057131,0.6549333672863085,0.585,0.7428571428571428,0.5966666666666667,0.7621428571428572
5,6,0.7134821428571428,0.6818181818181819,0.13314572046933404,0.6308718487394958,0.475,0.8,0.5878571428571429,0.7246428571428571
6,7,0.7341964285714286,0.6651515151515152,0.1340906713079746,0.6326931483549131,0.52,0.7482142857142857,0.6058333333333333,0.7160714285714286
7,8,0.7651785714285715,0.6909090909090908,0.11658902484459174,0.6482532092090916,0.5,0.8035714285714285,0.6083333333333333,0.7357539682539682
8,9,0.8136607142857143,0.7727272727272727,0.08017428215347246,0.73943535222947,0.615,0.8678571428571429,0.7716666666666667,0.8007395382395381
9,10,0.79625,0.7984848484848486,0.0890809449523105,0.7748613559642971,0.6599999999999999,0.8785714285714287,0.805,0.8180952380952382
10,11,0.8114285714285714,0.7818181818181819,0.0970696034160869,0.7513097686627097,0.64,0.8678571428571429,0.7833333333333333,0.8144444444444444
11,12,0.8151785714285715,0.7901515151515152,0.06998640677264137,0.7602220002220001,0.665,0.8678571428571429,0.8133333333333332,0.8270093795093795
12,13,0.8498214285714287,0.8151515151515152,0.10227740355938401,0.7911122782446313,0.7150000000000001,0.8785714285714287,0.8033333333333333,0.846374458874459
13,14,0.8524107142857142,0.7984848484848486,0.11209390876950542,0.7727334267040151,0.67,0.8803571428571428,0.8,0.8213744588744589
14,15,0.8524107142857142,0.8242424242424242,0.11354092513019466,0.8024792364498248,0.735,0.8803571428571428,0.8166666666666668,0.8555014430014432
15,16,0.8648214285714285,0.8068181818181817,0.09630784760366103,0.7873347567465214,0.735,0.8535714285714286,0.7838095238095238,0.8547619047619047
16,17,0.8521428571428572,0.7984848484848486,0.11209390876950542,0.7720634920634921,0.6900000000000001,0.8678571428571429,0.79,0.834112554112554
17,18,0.8646428571428573,0.7984848484848486,0.10498492514015045,0.7697875816993464,0.67,0.8785714285714287,0.7966666666666666,0.8249855699855699
18,19,0.8528571428571429,0.7909090909090909,0.1119231119176394,0.765060690943044,0.675,0.8678571428571429,0.7866666666666667,0.822564935064935
19,20,0.8825,0.7909090909090909,0.11861700071183576,0.7622934173669467,0.62,0.8946428571428571,0.8033333333333333,0.8015873015873016
20,21,0.8730357142857142,0.7992424242424242,0.11835058742879284,0.7722630718954248,0.625,0.9089285714285715,0.8416666666666666,0.8041666666666668
21,22,0.874375,0.7742424242424242,0.12359814884420607,0.7455217086834732,0.6,0.8821428571428571,0.7816666666666666,0.7880952380952381
22,23,0.8798214285714285,0.7825757575757575,0.11151499139938732,0.7488807189542482,0.58,0.9071428571428571,0.8,0.7861111111111111
23,24,0.8949107142857142,0.815909090909091,0.10896984022642014,0.7928781512605042,0.67,0.9071428571428571,0.8216666666666667,0.8237698412698412
24,25,0.8832142857142857,0.7749999999999999,0.13058510303936843,0.7490137721755369,0.645,0.8535714285714284,0.7449999999999999,0.8071428571428572
25,26,0.8650892857142857,0.7825757575757576,0.11823198883275474,0.7543709150326798,0.62,0.8803571428571428,0.7816666666666666,0.7988095238095239
26,27,0.8767857142857143,0.7734848484848486,0.11067695251302158,0.7487570028011206,0.645,0.8517857142857143,0.7366666666666667,0.8045238095238096
27,28,0.8715178571428572,0.8,0.12546210878484682,0.7730439658380834,0.665,0.8803571428571428,0.7916666666666666,0.8291666666666666
28,29,0.8769642857142858,0.7734848484848486,0.0957233935069334,0.743015873015873,0.61,0.8678571428571429,0.7766666666666666,0.799484126984127
29,30,0.8822321428571428,0.7909090909090909,0.0797116269759663,0.7648330999066293,0.655,0.8678571428571429,0.77,0.8186904761904762
30,31,0.8705357142857142,0.7992424242424242,0.1307412761824924,0.7693510737628385,0.615,0.9071428571428571,0.8300000000000001,0.8032142857142857
31,32,0.8863392857142858,0.7734848484848484,0.10347066222377446,0.7433531746031746,0.61,0.8660714285714285,0.765,0.7967063492063492
32,33,0.8735714285714286,0.7742424242424242,0.1104087072862829,0.7401211361737678,0.61,0.8660714285714285,0.765,0.7991558441558442
33,34,0.8764285714285714,0.7659090909090909,0.12814008203691019,0.7334007813651777,0.61,0.8553571428571429,0.7416666666666666,0.7951479076479078
34,35,0.8845535714285715,0.7659090909090909,0.10122766972647962,0.7294441987321244,0.5900000000000001,0.8678571428571429,0.7683333333333333,0.7893542568542569
35,36,0.8533035714285715,0.7659090909090909,0.08462045476813997,0.731735772397537,0.5700000000000001,0.8803571428571428,0.7833333333333333,0.78
36,37,0.857232142857143,0.7825757575757576,0.10436658196119204,0.7534024390642038,0.615,0.8785714285714284,0.7883333333333333,0.7988888888888888
37,38,0.869375,0.7651515151515151,0.07525083043308761,0.7272119628737276,0.545,0.8928571428571429,0.7916666666666666,0.7725
38,39,0.8544642857142858,0.7909090909090909,0.0797116269759663,0.758517740429505,0.5900000000000001,0.9089285714285715,0.8300000000000001,0.7934920634920635
39,40,0.8496428571428571,0.8159090909090908,0.09374436690215106,0.7877637721755368,0.655,0.9089285714285715,0.8400000000000001,0.8264285714285713
40,41,0.8666964285714286,0.7992424242424242,0.10450091765938667,0.7709920634920635,0.635,0.8946428571428571,0.8016666666666665,0.8123809523809523
41,42,0.8765178571428571,0.8159090909090908,0.09374436690215106,0.7865686274509803,0.6300000000000001,0.9214285714285715,0.86,0.8153174603174602
42,43,0.8544642857142858,0.7909090909090908,0.09716153162770756,0.7610156510156509,0.61,0.8946428571428571,0.8083333333333332,0.8002777777777776
43,44,0.8456250000000001,0.7901515151515152,0.05792138859180097,0.7584024390642037,0.605,0.8928571428571429,0.8133333333333332,0.7998809523809524
44,45,0.8595535714285715,0.7901515151515152,0.08025775357863457,0.7574302168419814,0.6050000000000001,0.8946428571428571,0.8216666666666667,0.8018253968253968
45,46,0.8514285714285714,0.8075757575757574,0.09570673755971973,0.7817100954600955,0.655,0.8946428571428571,0.8216666666666667,0.8211111111111112
46,47,0.8605357142857143,0.7992424242424242,0.11835058742879284,0.7718489843489843,0.635,0.8928571428571429,0.8083333333333332,0.8099999999999999
47,48,0.8664285714285714,0.7992424242424242,0.07931464027545157,0.7692019255254549,0.635,0.8946428571428571,0.825,0.8161111111111111
48,49,0.8487500000000001,0.7992424242424242,0.0968361085293637,0.7698377684407095,0.65,0.8821428571428571,0.79,0.8240873015873016
49,50,0.851875,0.7825757575757576,0.10436658196119206,0.7478734827264238,0.585,0.8946428571428571,0.7849999999999999,0.7925396825396824
50,51,0.848482142857143,0.8075757575757574,0.08727296109209233,0.7762955182072829,0.61,0.9214285714285715,0.8383333333333333,0.8054365079365079
51,52,0.8575892857142857,0.8075757575757574,0.1174283153415508,0.7786510385039798,0.65,0.8946428571428571,0.805,0.8225000000000001
52,53,0.8415178571428571,0.7825757575757576,0.10436658196119206,0.7478734827264238,0.585,0.8946428571428571,0.7849999999999999,0.7925396825396824
53,54,0.8566964285714287,0.7909090909090909,0.09716153162770756,0.7587068160597571,0.605,0.8946428571428571,0.7933333333333333,0.800873015873016
54,55,0.8530357142857143,0.8159090909090908,0.10896984022642014,0.7863457049486462,0.645,0.9089285714285715,0.8183333333333334,0.8230952380952381
55,56,0.8391964285714286,0.8075757575757574,0.08727296109209233,0.7830952380952381,0.675,0.8803571428571428,0.795,0.8296428571428571
56,57,0.8449107142857143,0.8159090909090908,0.07550885095668385,0.7887359943977591,0.65,0.9071428571428571,0.8266666666666665,0.8217063492063492
57,58,0.8509821428571429,0.7659090909090909,0.11547060609237167,0.7326750700280111,0.5900000000000001,0.8660714285714285,0.7449999999999999,0.7879761904761905
58,59,0.8451785714285714,0.7992424242424242,0.09683610852936368,0.7737934287934287,0.655,0.8803571428571428,0.7966666666666666,0.8183333333333334
59,60,0.8425,0.7825757575757576,0.07913756251384416,0.7556783494283493,0.63,0.8660714285714285,0.7716666666666667,0.8040476190476191
60,61,0.8479464285714287,0.7825757575757576,0.0966911244826484,0.7538891337420749,0.65,0.8535714285714284,0.7516666666666667,0.8189285714285713
61,62,0.8475892857142858,0.7734848484848486,0.11744189071244063,0.7367425303454714,0.5650000000000001,0.8928571428571429,0.78,0.7818253968253968
62,63,0.8628571428571428,0.7659090909090909,0.11547060609237167,0.7326750700280111,0.5900000000000001,0.8660714285714285,0.7449999999999999,0.7879761904761905
63,64,0.8473214285714287,0.7742424242424242,0.1171891314123085,0.7410037348272642,0.585,0.8785714285714284,0.7699999999999999,0.787579365079365
64,65,0.8513392857142857,0.7742424242424242,0.1171891314123085,0.7410037348272642,0.585,0.8785714285714284,0.7699999999999999,0.787579365079365
65,66,0.8350892857142858,0.7651515151515151,0.09353666251238453,0.7271451914098972,0.5599999999999999,0.8803571428571428,0.7783333333333333,0.7798015873015872
66,67,0.8329464285714285,0.7825757575757576,0.13063392720283296,0.7478734827264238,0.5900000000000001,0.8928571428571429,0.7766666666666666,0.7939285714285714
67,68,0.8420535714285714,0.7659090909090909,0.1396649575860477,0.7338916312445724,0.5900000000000001,0.8642857142857142,0.755,0.7832142857142858
68,69,0.8516071428571429,0.7575757575757576,0.14316199780867037,0.7238608776844071,0.5650000000000001,0.8642857142857142,0.75,0.7732936507936508
69,70,0.8473214285714287,0.7651515151515151,0.10145105771010439,0.7281503382238675,0.5599999999999999,0.8785714285714284,0.7716666666666667,0.779047619047619
70,71,0.8310714285714285,0.7659090909090909,0.1281400820369102,0.7308450046685341,0.5650000000000001,0.8785714285714284,0.76,0.7786507936507936
71,72,0.8461607142857142,0.7742424242424242,0.15163295083994957,0.7411928104575164,0.5900000000000001,0.8767857142857143,0.7666666666666667,0.7871825396825397
72,73,0.8334821428571428,0.7825757575757576,0.12458737118942613,0.7470894138541198,0.5900000000000001,0.8910714285714285,0.78,0.7943253968253968
73,74,0.8450892857142858,0.7734848484848486,0.10347066222377446,0.7357703081232493,0.5599999999999999,0.8946428571428571,0.78,0.7818253968253968
74,75,0.8134821428571428,0.7659090909090909,0.10858292220601015,0.727516339869281,0.545,0.8946428571428571,0.7716666666666667,0.7734920634920635
75,76,0.8202678571428571,0.7651515151515151,0.10145105771010439,0.7281524276377217,0.5599999999999999,0.8803571428571428,0.7516666666666667,0.7792063492063491
76,77,0.8150892857142857,0.7575757575757576,0.14316199780867037,0.7238608776844071,0.5650000000000001,0.8642857142857142,0.75,0.7732936507936508
77,78,0.8391071428571429,0.7568181818181818,0.11980719895710248,0.7184045284780579,0.54,0.8785714285714284,0.76,0.7689285714285713
