iter	Passed	Remaining
0	4	2425
1	9	2284
2	13	2235
3	17	2176
4	21	2140
5	25	2121
6	30	2126
7	34	2095
8	37	2070
9	41	2041
10	45	2023
11	48	1992
12	52	1984
13	56	1965
14	60	1961
15	63	1935
16	67	1916
17	70	1897
18	74	1880
19	77	1867
20	81	1849
21	84	1844
22	88	1835
23	92	1832
24	95	1821
25	99	1809
26	102	1796
27	105	1784
28	109	1776
29	112	1768
30	116	1758
31	119	1749
32	123	1740
33	126	1736
34	130	1727
35	133	1717
36	136	1708
37	140	1702
38	143	1698
39	147	1691
40	150	1682
41	153	1675
42	157	1673
43	160	1667
44	164	1661
45	167	1652
46	170	1644
47	174	1643
48	177	1636
49	181	1629
50	184	1621
51	187	1614
52	191	1611
53	194	1607
54	198	1603
55	201	1599
56	222	1726
57	225	1721
58	229	1717
59	233	1712
60	237	1706
61	240	1699
62	243	1690
63	246	1682
64	250	1676
65	254	1673
66	257	1666
67	261	1659
68	264	1653
69	268	1649
70	271	1642
71	275	1635
72	278	1628
73	281	1621
74	285	1616
75	288	1610
76	291	1603
77	295	1598
78	299	1593
79	302	1589
80	305	1582
81	309	1576
82	312	1570
83	315	1564
84	319	1559
85	322	1553
86	326	1549
87	329	1543
88	333	1538
89	336	1533
90	339	1527
91	343	1522
92	346	1516
93	350	1512
94	353	1506
95	356	1502
96	360	1496
97	363	1491
98	367	1487
99	370	1481
100	374	1478
101	377	1472
102	380	1467
103	384	1463
104	387	1458
105	391	1453
106	394	1448
107	397	1443
108	401	1439
109	404	1434
110	407	1429
111	411	1424
112	414	1420
113	418	1416
114	421	1412
115	425	1407
116	428	1402
117	431	1398
118	435	1394
119	438	1389
120	442	1384
121	445	1379
122	449	1376
123	452	1372
124	455	1367
125	458	1362
126	462	1358
127	465	1354
128	469	1349
129	472	1345
130	475	1340
131	479	1337
132	483	1333
133	486	1328
134	489	1323
135	492	1319
136	496	1315
137	499	1311
138	503	1306
139	506	1302
140	510	1298
141	513	1294
142	516	1290
143	520	1285
144	523	1281
145	526	1277
146	530	1273
147	533	1268
148	536	1264
149	540	1260
150	543	1257
151	547	1253
152	550	1248
153	553	1244
154	557	1240
155	560	1236
156	564	1232
157	567	1228
158	570	1224
159	574	1220
160	577	1216
161	581	1212
162	584	1208
163	588	1205
164	592	1203
165	596	1200
166	599	1195
167	603	1192
168	606	1188
169	609	1184
170	613	1179
171	616	1175
172	620	1172
173	624	1169
174	627	1165
175	631	1161
176	634	1157
177	637	1153
178	641	1150
179	644	1146
180	648	1142
181	651	1138
182	655	1135
183	658	1131
184	662	1127
185	665	1124
186	669	1119
187	672	1116
188	675	1112
189	679	1108
190	682	1104
191	685	1100
192	689	1096
193	692	1093
194	696	1089
195	699	1085
196	702	1081
197	706	1077
198	710	1075
199	714	1071
200	717	1067
201	721	1064
202	725	1060
203	728	1056
204	731	1052
205	734	1048
206	739	1046
207	742	1042
208	745	1038
209	749	1034
210	752	1031
211	756	1027
212	759	1023
213	762	1019
214	766	1015
215	770	1012
216	773	1008
217	776	1004
218	779	1000
219	783	996
220	786	993
221	790	989
222	793	985
223	796	981
224	800	977
225	803	974
226	806	970
227	810	966
228	813	962
229	817	959
230	821	956
231	824	952
232	828	949
233	831	945
234	835	941
235	838	938
236	841	934
237	844	930
238	849	927
239	854	925
240	858	922
241	862	919
242	866	916
243	870	912
244	873	909
245	877	905
246	880	902
247	884	898
248	888	895
249	891	891
250	895	887
251	898	884
252	901	880
253	905	876
254	908	873
255	912	869
256	915	865
257	918	861
258	922	858
259	925	854
260	929	851
261	933	847
262	937	844
263	941	841
264	944	838
265	948	834
266	952	831
267	957	828
268	962	826
269	966	823
270	971	820
271	975	817
272	979	814
273	984	811
274	988	808
275	992	805
276	996	802
277	1001	799
278	1005	796
279	1009	792
280	1013	789
281	1017	786
282	1020	782
283	1024	779
284	1028	775
285	1031	771
286	1035	768
287	1038	764
288	1041	760
289	1045	756
290	1048	753
291	1052	749
292	1055	745
293	1059	742
294	1062	738
295	1066	734
296	1069	731
297	1072	727
298	1076	723
299	1080	720
300	1083	716
301	1087	712
302	1090	709
303	1094	705
304	1097	701
305	1100	697
306	1104	694
307	1107	690
308	1111	686
309	1114	683
310	1117	679
311	1120	675
312	1124	671
313	1128	668
314	1131	664
315	1134	660
316	1137	656
317	1141	653
318	1145	649
319	1148	646
320	1151	642
321	1155	638
322	1158	635
323	1162	631
324	1165	627
325	1168	623
326	1172	620
327	1175	616
328	1179	612
329	1182	609
330	1186	605
331	1190	602
332	1194	598
333	1197	595
334	1201	591
335	1205	588
336	1208	584
337	1212	580
338	1215	577
339	1220	574
340	1223	570
341	1227	567
342	1232	563
343	1236	560
344	1239	557
345	1243	553
346	1247	549
347	1251	546
348	1255	543
349	1259	539
350	1263	536
351	1267	532
352	1271	529
353	1275	525
354	1278	522
355	1282	518
356	1285	515
357	1289	511
358	1292	507
359	1295	503
360	1299	500
361	1302	496
362	1305	492
363	1309	489
364	1312	485
365	1316	481
366	1319	478
367	1323	474
368	1328	471
369	1331	467
370	1335	464
371	1338	460
372	1342	457
373	1345	453
374	1349	449
375	1352	446
376	1355	442
377	1359	438
378	1362	434
379	1366	431
380	1369	427
381	1372	424
382	1376	420
383	1379	416
384	1382	413
385	1386	409
386	1389	405
387	1392	402
388	1396	398
389	1399	394
390	1403	391
391	1406	387
392	1409	383
393	1413	380
394	1417	376
395	1420	373
396	1423	369
397	1427	365
398	1430	362
399	1434	358
400	1437	354
401	1440	351
402	1444	347
403	1447	344
404	1451	340
405	1454	336
406	1458	333
407	1462	329
408	1465	326
409	1469	322
410	1472	318
411	1475	315
412	1479	311
413	1482	307
414	1485	304
415	1489	300
416	1492	297
417	1496	293
418	1499	289
419	1502	286
420	1505	282
421	1509	279
422	1512	275
423	1516	271
424	1519	268
425	1522	264
426	1526	261
427	1530	257
428	1533	253
429	1536	250
430	1540	246
431	1543	242
432	1547	239
433	1550	235
434	1553	232
435	1556	228
436	1560	224
437	1563	221
438	1567	217
439	1570	214
440	1574	210
441	1578	207
442	1581	203
443	1584	199
444	1588	196
445	1591	192
446	1595	189
447	1598	185
448	1602	182
449	1606	178
450	1610	174
451	1613	171
452	1617	167
453	1620	164
454	1624	160
455	1627	157
456	1631	153
457	1634	149
458	1637	146
459	1641	142
460	1644	139
461	1648	135
462	1651	131
463	1655	128
464	1658	124
465	1662	121
466	1665	117
467	1668	114
468	1672	110
469	1676	106
470	1679	103
471	1682	99
472	1686	96
473	1689	92
474	1693	89
475	1696	85
476	1699	81
477	1703	78
478	1707	74
479	1710	71
480	1713	67
481	1716	64
482	1720	60
483	1723	56
484	1727	53
485	1730	49
486	1733	46
487	1737	42
488	1740	39
489	1743	35
490	1747	32
491	1750	28
492	1754	24
493	1757	21
494	1760	17
495	1763	14
496	1767	10
497	1771	7
498	1774	3
499	1777	0
