iter	Passed	Remaining
0	2	1322
1	4	1230
2	7	1182
3	9	1151
4	11	1129
5	13	1113
6	15	1104
7	17	1102
8	20	1096
9	22	1092
10	24	1085
11	26	1079
12	28	1075
13	30	1072
14	33	1072
15	35	1067
16	37	1070
17	40	1072
18	42	1070
19	44	1071
20	46	1068
21	49	1065
22	51	1062
23	53	1068
24	56	1067
25	58	1063
26	60	1059
27	62	1056
28	64	1051
29	66	1047
30	69	1047
31	71	1043
32	73	1038
33	75	1033
34	77	1032
35	79	1028
36	81	1025
37	84	1025
38	86	1022
39	88	1018
40	90	1014
41	92	1011
42	94	1008
43	97	1005
44	99	1002
45	101	1001
46	103	997
47	105	996
48	107	993
49	110	991
50	112	988
51	114	986
52	116	984
53	118	981
54	120	978
55	123	976
56	125	973
57	127	970
58	129	968
59	131	966
60	133	963
61	136	962
62	138	962
63	140	959
64	142	956
65	145	954
66	147	951
67	149	949
68	151	947
69	153	944
70	155	941
71	158	939
72	160	937
73	162	936
74	165	937
75	167	936
76	169	933
77	171	930
78	174	927
79	176	925
80	178	923
81	180	921
82	182	918
83	185	916
84	187	913
85	189	910
86	191	908
87	193	906
88	195	904
89	198	902
90	200	899
91	202	897
92	204	894
93	206	892
94	208	889
95	210	887
96	213	885
97	215	882
98	217	879
99	219	877
100	221	875
101	223	873
102	225	870
103	227	868
104	230	865
105	232	862
106	234	860
107	236	858
108	238	857
109	241	857
110	244	858
111	247	858
112	250	856
113	252	855
114	255	854
115	257	852
116	259	851
117	262	848
118	264	846
119	266	845
120	269	844
121	272	843
122	274	842
123	277	840
124	279	837
125	281	835
126	283	833
127	285	830
128	288	828
129	290	825
130	292	823
131	294	821
132	296	818
133	298	816
134	301	814
135	303	811
136	305	809
137	307	806
138	309	804
139	311	801
140	314	799
141	316	797
142	318	794
143	320	791
144	322	789
145	324	787
146	326	784
147	329	783
148	331	781
149	333	779
150	335	776
151	338	773
152	340	771
153	342	769
154	344	767
155	346	764
156	349	762
157	351	759
158	353	757
159	355	755
160	357	752
161	359	750
162	361	748
163	364	746
164	366	743
165	368	741
166	370	738
167	372	736
168	375	734
169	377	732
170	379	730
171	382	728
172	384	727
173	387	725
174	389	723
175	392	722
176	394	720
177	397	718
178	407	731
179	410	729
180	412	726
181	414	723
182	416	721
183	418	718
184	420	716
185	422	713
186	424	711
187	427	708
188	429	706
189	431	703
190	433	700
191	435	698
192	437	696
193	440	694
194	442	691
195	444	689
196	446	686
197	448	684
198	450	681
199	453	680
200	455	678
201	458	676
202	460	673
203	462	671
204	464	668
205	466	666
206	469	663
207	471	661
208	473	658
209	475	656
210	477	653
211	479	651
212	481	649
213	484	646
214	486	644
215	488	642
216	490	639
217	492	637
218	494	634
219	496	632
220	499	630
221	501	627
222	503	625
223	505	622
224	507	620
225	509	617
226	511	615
227	513	613
228	516	610
229	518	608
230	520	606
231	522	603
232	524	601
233	526	598
234	529	596
235	531	594
236	533	591
237	535	589
238	537	587
239	539	584
240	541	582
241	544	580
242	546	577
243	548	575
244	550	572
245	552	570
246	554	568
247	556	565
248	558	563
249	561	561
250	563	558
251	565	556
252	567	554
253	569	551
254	571	549
255	574	547
256	576	544
257	578	542
258	580	540
259	582	538
260	585	535
261	587	533
262	589	531
263	591	528
264	593	526
265	595	524
266	598	521
267	600	519
268	602	517
269	604	514
270	606	512
271	608	510
272	610	507
273	613	505
274	615	503
275	617	501
276	619	498
277	621	496
278	623	494
279	625	491
280	628	489
281	630	487
282	632	484
283	634	482
284	636	480
285	638	477
286	640	475
287	643	473
288	645	471
289	647	468
290	649	466
291	651	464
292	654	462
293	656	459
294	658	457
295	660	455
296	662	453
297	665	450
298	667	448
299	669	446
300	671	443
301	673	441
302	675	439
303	678	437
304	680	434
305	682	432
306	684	430
307	686	427
308	688	425
309	690	423
310	692	421
311	695	418
312	697	416
313	699	414
314	701	412
315	703	409
316	705	407
317	708	405
318	710	402
