,0
Beta-P7-Fp1,1.0920813743802533
Beta-participation-F8,0.8077891907822777
Alpha-within module degree-F3,0.6796862854651984
Theta-Cz-O2,0.42248075143616104
Beta-C4-O2,0.3851550094029219
Theta-P4-P8,0.368067184416055
Theta-C3-F3,0.3622860821908958
Theta-C4-F3,0.356052839959274
Alpha-F4-C3,0.35394274097775347
Alpha-betweenness centrality-T7,0.34624676969045864
Theta-global efficiency-Cz,0.323368164507527
Delta-within module degree-Fz,0.29685244416455925
Beta-participation-Fp1,0.2731002119507911
Alpha-P4-T8,0.27139982395511325
Beta-local efficiency-F7,0.23431930986194527
Theta-strength-T7,0.22627372820888983
Beta-clustering coefficient-F7,0.22021500129344548
Beta-participation-P7,0.21788546843094767
Theta-T8-T7,0.21297137627335194
Theta-path length-Cz,0.2125317673983393
Theta-T7-F7,0.20965678555783068
Beta-Cz-O2,0.20803181438285165
Alpha-path length-O1,0.20727930040626283
Theta-local efficiency-T7,0.19915725847301774
Delta-F4-F3,0.1913195074198905
Alpha-eccentricity-F3,0.18509326484823418
Theta-triangles-T7,0.18268538477440863
Delta-C4-F3,0.182068603122217
Delta-degree-P4,0.18074712694013403
Gamma-within module degree-P3,0.17512466943028077
Theta-within module degree-C3,0.17503232554253165
Alpha-eccentricity-Cz,0.17392776376675484
Alpha-C4-T8,0.16975584032466098
Beta-participation-C4,0.16786351082996395
Delta-degree-Fz,0.16380191549781992
Theta-within module degree-C4,0.1624215752258332
Theta-F3-O1,0.15991402039006714
Theta-clustering coefficient-T7,0.15624953895071084
Theta-F4-O2,0.15426683547923956
Theta-betweenness centrality-F3,0.14605159846206273
Alpha-clustering coefficient-O1,0.14552283540740552
Alpha-eccentricity-Fp1,0.14469017539923806
Beta-global efficiency-F7,0.14336765184410438
Gamma-within module degree-P7,0.14036635187018648
Beta-Cz-C3,0.14025754529692194
Theta-C4-F8,0.14016248497785816
Theta-clustering coefficient-F8,0.13871865053342203
Alpha-eccentricity-O1,0.12164283953910414
Delta-degree-F4,0.11854786371716207
Delta-P4-C3,0.1183537595466024
Theta-P8-F7,0.1139496615741714
Theta-Fp1,0.11144934443538215
Theta-strength-Cz,0.10970426926235213
Theta-F8-P7,0.10780739864240953
Gamma-Fz-C3,0.1040094611633679
Theta-F8-O1,0.09899643098129544
Delta-Pz-Fz,0.09899579209028214
Theta-degree-P4,0.09876155443408223
Beta-betweenness centrality-P8,0.09783309442177587
Gamma-Fz-F8,0.09745974223335997
Theta-clustering coefficient-Fp1,0.0941941759315098
Theta-P4-F8,0.09310027500239644
Gamma-participation-T8,0.09289738786954246
Alpha-eccentricity-F8,0.09018131252914424
Theta-P4-T7,0.08823973781877098
Delta-path length-P3,0.08699239074792756
Theta-C4-T7,0.08677150409396786
Theta-F4-P8,0.08676536179524487
Gamma-betweenness centrality-P7,0.08517818130073501
Theta-global efficiency-T7,0.07537728039024197
Alpha-global efficiency-O1,0.07370066540972077
Beta-degree-C4,0.07249357851155877
Theta-path length-T7,0.0663687834827128
Alpha-Fp1,0.06629683801082752
Delta-betweenness centrality-P4,0.06477307322933876
Theta-closeness centrality-T7,0.05965224709110467
Theta-degree-T7,0.058554376625064866
Theta-triangles-Fp1,0.05596762395364851
Gamma-Fp1,0.054354631947656745
Beta-degree-Fp1,0.05433070042548835
Alpha-eccentricity-T7,0.05427179053708506
Theta-F3-T7,0.050923730627087646
Theta-local efficiency-Fp1,0.049655072913385986
Theta-betweenness centrality-Cz,0.04617728186586817
Theta-Fp2-T7,0.04593904674961958
