,0
Alpha-within module degree-F3,0.06431996412094874
Theta-Cz-O2,0.052406325535960155
Alpha-betweenness centrality-T7,0.051675491780511756
Delta-within module degree-Fz,0.05152170335021471
Theta-global efficiency-Cz,0.05019864959543962
Gamma-Fz-F8,0.04770878791039364
Beta-C4-O2,0.04721425738303537
Delta-degree-P4,0.04594068972181952
Alpha-P4-T8,0.04547047872267835
Theta-strength-Cz,0.04484355320699898
Beta-P7-Fp1,0.04430251735838638
Theta-C4-F3,0.04291165379080847
Alpha-C4-T8,0.04275580449254338
Theta-C3-F3,0.042064412929093555
Beta-participation-F8,0.04105565319390146
Alpha-F4-C3,0.04101746627323616
Theta-betweenness centrality-F3,0.03895296719950149
Theta-path length-Cz,0.038869124722797715
Theta-P8-F7,0.03796290999327783
Delta-P4-C3,0.03684458685860164
Theta-within module degree-C4,0.03660624309882988
Beta-participation-Fp1,0.03654853243492517
Theta-clustering coefficient-T7,0.035091707068966485
Theta-F8-P7,0.0349588507252606
Beta-participation-C4,0.03480265165579509
Theta-F3-O1,0.03451154766882428
Alpha-eccentricity-F8,0.03447177614070824
Theta-P4-P8,0.034172451860255394
Theta-F4-P8,0.034100783257398216
Theta-C4-F8,0.03362410846965217
Alpha-eccentricity-O1,0.033135295302499645
Beta-participation-P7,0.03261320839001049
Theta-strength-T7,0.03231571464750606
Theta-local efficiency-T7,0.03209695156602911
Beta-local efficiency-F7,0.031735135053361986
Delta-degree-Fz,0.03147769985142046
Delta-C4-F3,0.03133685987920107
Beta-Cz-O2,0.03113290356273856
Theta-within module degree-C3,0.030279912687821996
Theta-Fp1,0.030051756892133706
Theta-F4-O2,0.029666464749763526
Theta-T8-T7,0.02886883294219298
Gamma-within module degree-P3,0.027769057523225407
Theta-T7-F7,0.027749357829674828
Beta-clustering coefficient-F7,0.02691805683360942
Alpha-eccentricity-Cz,0.02689065239728071
Beta-global efficiency-F7,0.026690611255002036
Gamma-Fz-C3,0.026641068350492375
Theta-F8-O1,0.026604832002858063
Delta-F4-F3,0.026585509090519252
Gamma-participation-T8,0.025890511001266825
Alpha-eccentricity-F3,0.02558342421353959
Beta-betweenness centrality-P8,0.02476234656250931
Theta-global efficiency-T7,0.024186167328981135
Theta-P4-F8,0.024181788787272705
Beta-Cz-C3,0.02325004947165577
Gamma-within module degree-P7,0.022424112401561596
Delta-betweenness centrality-P4,0.021955414121244247
Beta-degree-Fp1,0.021771473710425485
Theta-triangles-T7,0.02140415560800319
Alpha-eccentricity-Fp1,0.020342503266137076
Alpha-clustering coefficient-O1,0.019743818087215412
Theta-path length-T7,0.01958402486929706
Alpha-Fp1,0.01950974587484502
Theta-triangles-Fp1,0.019424075248925442
Theta-C4-T7,0.019071251887085652
Delta-Pz-Fz,0.01906809041049131
Delta-degree-F4,0.018259379516577506
Delta-path length-P3,0.01727096587123615
Theta-closeness centrality-T7,0.016613740850942877
Theta-Fp2-T7,0.016603094453008862
Theta-F3-T7,0.01612437161044199
Theta-P4-T7,0.016120820795852378
Alpha-global efficiency-O1,0.015918156337361992
Gamma-Fp1,0.01544479846451226
Theta-degree-P4,0.015300147881723916
Theta-degree-T7,0.014868454528445818
Theta-clustering coefficient-F8,0.01463023166881736
Theta-betweenness centrality-Cz,0.01437728198881831
Alpha-eccentricity-T7,0.013958114205959604
Alpha-path length-O1,0.013517448129453737
Gamma-betweenness centrality-P7,0.011787985775792138
Theta-local efficiency-Fp1,0.011644557332523531
Theta-clustering coefficient-Fp1,0.011282852598412758
Beta-degree-C4,0.011238386639532439
