,0
Beta-participation-F8,0.6168407595139656
Beta-P7-Fp1,0.5150792075692496
Alpha-within module degree-F3,0.3697625280323112
Delta-within module degree-Fz,0.3310890683798721
Theta-F4-P8,0.32587227892793486
Theta-betweenness centrality-F3,0.2777880630921741
Theta-Cz-O2,0.27183916604846015
Beta-clustering coefficient-F7,0.26545699547619134
Beta-C4-O2,0.254704596018669
Alpha-F4-C3,0.24782419197747674
Alpha-P4-T8,0.23164315562077517
Gamma-within module degree-P7,0.21725929380093606
Beta-Cz-O2,0.21662909963563987
Delta-degree-Fz,0.19717733926496256
Theta-within module degree-C4,0.16867663714183945
Theta-P8-F7,0.16192541192501114
Beta-degree-C4,0.15944196323098828
Alpha-C4-T8,0.15260688894081417
Alpha-eccentricity-Cz,0.1435408567579535
Theta-C3-F3,0.14091346132908444
Theta-F4-O2,0.13719869003141202
Theta-path length-Cz,0.1367923670418051
Gamma-within module degree-P3,0.1073432566221449
Theta-local efficiency-T7,0.10480028230001946
Theta-clustering coefficient-T7,0.10478204640194881
Alpha-eccentricity-F3,0.10171792825637659
Beta-betweenness centrality-P8,0.09256954855750653
Theta-T7-F7,0.08181912270530418
Theta-strength-T7,0.07795184357757963
Theta-C4-F3,0.07380191656711481
Theta-C4-F8,0.05210179750430855
Theta-global efficiency-T7,0.04688501567008104
Gamma-betweenness centrality-P7,0.03977479709837545
Delta-degree-P4,0.03686370522537331
Theta-T8-T7,0.035709396560146316
Beta-participation-Fp1,0.026188976395049884
Beta-local efficiency-F7,0.024187306176030637
Beta-Cz-C3,0.023474896916358137
Alpha-eccentricity-O1,0.0
Alpha-eccentricity-Fp1,0.0
Alpha-eccentricity-F8,0.0
Alpha-eccentricity-T7,0.0
Alpha-Fp1,0.0
Beta-degree-Fp1,0.0
Alpha-path length-O1,0.0
Alpha-global efficiency-O1,0.0
Alpha-clustering coefficient-O1,0.0
Alpha-betweenness centrality-T7,0.0
Theta-Fp1,0.0
Gamma-participation-T8,0.0
Beta-global efficiency-F7,0.0
Theta-within module degree-C3,0.0
Beta-participation-C4,0.0
Beta-participation-P7,0.0
Delta-F4-F3,0.0
Theta-triangles-T7,0.0
Theta-closeness centrality-T7,0.0
Gamma-Fz-C3,0.0
Delta-P4-C3,0.0
Delta-Pz-Fz,0.0
Theta-Fp2-T7,0.0
Theta-F8-P7,0.0
Theta-F8-O1,0.0
Theta-F3-T7,0.0
Theta-F3-O1,0.0
Theta-C4-T7,0.0
Theta-P4-T7,0.0
Theta-P4-F8,0.0
Theta-P4-P8,0.0
Gamma-Fz-F8,0.0
Delta-degree-F4,0.0
Theta-betweenness centrality-Cz,0.0
Delta-path length-P3,0.0
Delta-betweenness centrality-P4,0.0
Theta-degree-T7,0.0
Theta-degree-P4,0.0
Theta-strength-Cz,0.0
Theta-triangles-Fp1,0.0
Delta-C4-F3,0.0
Theta-path length-T7,0.0
Theta-global efficiency-Cz,0.0
Theta-local efficiency-Fp1,0.0
Theta-clustering coefficient-Fp1,0.0
Theta-clustering coefficient-F8,0.0
Gamma-Fp1,0.0
