,0
Alpha-within module degree-F3,0.8669884471744821
Beta-P7-Fp1,0.7814962873374549
Gamma-within module degree-P3,0.7596684986541478
Alpha-P4-T8,0.6337962893021472
Theta-F4-P8,0.6297439977592142
Theta-path length-Cz,0.5547537314286906
Theta-Cz-O2,0.5406573343386615
Theta-C4-F3,0.47901912180852835
Beta-C4-O2,0.4766957438958358
Beta-global efficiency-F7,0.47030634845020186
Theta-global efficiency-Cz,0.46572724453743075
Alpha-betweenness centrality-T7,0.4567277326664711
Beta-degree-C4,0.4405055851473431
Alpha-F4-C3,0.4108285096377618
Theta-C4-T7,0.39266550454993593
Beta-Cz-C3,0.39002683489874357
Theta-F4-O2,0.38537022125942433
Alpha-eccentricity-F3,0.3840183918307208
Theta-within module degree-C3,0.37626333473448464
Gamma-participation-T8,0.36686134915715524
Beta-clustering coefficient-F7,0.3444801189649383
Theta-P8-F7,0.31793604693166805
Theta-T7-F7,0.306996693115263
Delta-P4-C3,0.2990863274046645
Delta-degree-Fz,0.2877164321027514
Theta-triangles-Fp1,0.28674087583314084
Beta-participation-F8,0.27971686630851106
Alpha-path length-O1,0.2628578377450988
Beta-Cz-O2,0.2588134768897686
Beta-betweenness centrality-P8,0.2522821986670784
Theta-P4-T7,0.2516714043862818
Delta-C4-F3,0.2453363322240985
Theta-global efficiency-T7,0.24094849986023797
Beta-local efficiency-F7,0.23919241262596028
Alpha-eccentricity-Fp1,0.23653943199721816
Alpha-C4-T8,0.23527273279809385
Beta-participation-C4,0.234145956937208
Theta-P4-P8,0.22907116266394462
Theta-C4-F8,0.2193106539894535
Theta-strength-T7,0.21855803218514447
Theta-local efficiency-T7,0.21354646476147565
Alpha-Fp1,0.20498322783737044
Delta-betweenness centrality-P4,0.2047114998909404
Gamma-within module degree-P7,0.18903489956881725
Beta-participation-Fp1,0.1872168148288671
Gamma-Fp1,0.18659010735630369
Gamma-betweenness centrality-P7,0.17968911241573313
Alpha-global efficiency-O1,0.1762927532549373
Theta-F3-T7,0.15580944762076002
Alpha-clustering coefficient-O1,0.15526363937670823
Theta-betweenness centrality-F3,0.15474001078721095
Delta-degree-P4,0.14722928162163187
Theta-degree-T7,0.14001313556378617
Delta-Pz-Fz,0.1358279668500161
Alpha-eccentricity-T7,0.1353919044153585
Theta-clustering coefficient-T7,0.12692366433850685
Gamma-Fz-F8,0.11362597951486991
Theta-F3-O1,0.11227193205088223
Theta-local efficiency-Fp1,0.1017802551723168
Delta-path length-P3,0.09898145373147059
Alpha-eccentricity-F8,0.09465117221023138
Theta-betweenness centrality-Cz,0.0903519816117973
Beta-participation-P7,0.08884127295531354
Theta-P4-F8,0.08430545363419156
Delta-degree-F4,0.07785141209579415
Theta-Fp1,0.07019444583397917
Beta-degree-Fp1,0.06539304592587131
Theta-C3-F3,0.06296015070259288
Theta-degree-P4,0.04792975315783589
Alpha-eccentricity-O1,0.04737035502597675
Theta-path length-T7,0.046098356788336584
Theta-closeness centrality-T7,0.04261007173742813
Alpha-eccentricity-Cz,0.036177227578425356
Theta-clustering coefficient-Fp1,0.031107284002305207
Theta-F8-P7,0.03078341072786787
Theta-strength-Cz,0.022944422094194564
Delta-F4-F3,0.020499959864118716
Theta-triangles-T7,0.020327421588188253
Theta-T8-T7,0.019955314980443378
Gamma-Fz-C3,0.01605954917514563
Theta-F8-O1,0.013279479740224021
Theta-within module degree-C4,0.008079754422434395
Delta-within module degree-Fz,0.00804745717223689
Theta-Fp2-T7,0.0051319231187473115
Theta-clustering coefficient-F8,0.0029941237747619495
