,0
Beta-participation-F8,0.028058610232646778
Beta-participation-P7,0.0263921303593611
Beta-P7-Fp1,0.020465577624733482
Theta-within module degree-C4,0.016897972635137898
Alpha-eccentricity-F3,0.015564541053130385
Theta-global efficiency-T7,0.01195202929177328
Theta-closeness centrality-T7,0.01195013468340888
Alpha-betweenness centrality-T7,0.010885300610674983
Theta-F3-O1,0.010598169542933715
Theta-Cz-O2,0.010305373067203019
Alpha-within module degree-F3,0.010219704625033315
Theta-T7-F7,0.009780165561806872
Theta-F8-O1,0.009667002189505954
Theta-Fp1,0.009573675833431619
Theta-clustering coefficient-T7,0.009082492076937591
Alpha-P4-T8,0.008641361623091997
Theta-C3-F3,0.008360585671402382
Theta-F4-O2,0.008307150911129099
Alpha-F4-C3,0.007860638251399073
Delta-degree-Fz,0.007227188729688922
Theta-clustering coefficient-Fp1,0.007183670518821005
Beta-betweenness centrality-P8,0.00685968988355163
Theta-global efficiency-Cz,0.006803603178727734
Gamma-betweenness centrality-P7,0.006759638878908992
Beta-participation-Fp1,0.006501458138114687
Beta-Cz-C3,0.006471353563943772
Theta-P4-P8,0.006433102290903817
Delta-within module degree-Fz,0.00637800509622078
Theta-F4-P8,0.006027376680180185
Gamma-Fz-F8,0.0057201547921080734
Theta-strength-T7,0.005458006613054163
Alpha-eccentricity-O1,0.005373928624958977
Theta-C4-F8,0.005244149859334146
Theta-local efficiency-T7,0.005186315754291953
Theta-clustering coefficient-F8,0.005086443724515618
Alpha-eccentricity-Cz,0.00508644166287592
Delta-Pz-Fz,0.004994457354349812
Alpha-eccentricity-Fp1,0.004870064834919672
Theta-F8-P7,0.004869225627911046
Beta-global efficiency-F7,0.004801411825314395
Gamma-within module degree-P3,0.004760498345919435
Beta-Cz-O2,0.004512379800607081
Theta-triangles-Fp1,0.004389044113413452
Delta-betweenness centrality-P4,0.004365894358074823
Theta-C4-F3,0.004343508709524504
Alpha-C4-T8,0.004243268478009423
Theta-triangles-T7,0.004184196625820853
Alpha-clustering coefficient-O1,0.004056853739526462
Theta-T8-T7,0.0038999457948190245
Gamma-Fp1,0.0036200983738407387
Theta-betweenness centrality-F3,0.003428088253039718
Theta-path length-Cz,0.0032273409974068394
Alpha-Fp1,0.003062751805467855
Theta-P4-T7,0.0028057773203251537
Beta-clustering coefficient-F7,0.0027214736975992187
Alpha-eccentricity-F8,0.002532394025549837
Gamma-within module degree-P7,0.002466615525035573
Beta-local efficiency-F7,0.002376687308293598
Beta-participation-C4,0.002275682708661792
Alpha-eccentricity-T7,0.002185277042915932
Beta-degree-Fp1,0.00208384540002187
Theta-within module degree-C3,0.001695396888095054
Theta-betweenness centrality-Cz,0.001687457133058985
Theta-F3-T7,0.0014854497354497358
Theta-degree-T7,0.0014278311192692222
Delta-P4-C3,0.0013976746060885583
Theta-strength-Cz,0.0013955051196458306
Delta-degree-P4,0.0013902502167080538
Gamma-Fz-C3,0.0013710101552291572
Alpha-path length-O1,0.0010846412797471002
Beta-C4-O2,0.0005380817178807432
Theta-P8-F7,0.0005246746566191008
Theta-local efficiency-Fp1,0.0004829882962116763
Gamma-participation-T8,0.00023625965888995337
Theta-P4-F8,0.0
Beta-degree-C4,0.0
Theta-C4-T7,0.0
Delta-degree-F4,0.0
Alpha-global efficiency-O1,0.0
Delta-path length-P3,0.0
Theta-degree-P4,0.0
Theta-Fp2-T7,0.0
Delta-C4-F3,0.0
Theta-path length-T7,0.0
Delta-F4-F3,0.0
