,0
Alpha-within module degree-F3,0.18738090298506815
Beta-P7-Fp1,0.1503272296432762
Theta-F4-P8,0.1447389088425801
Gamma-within module degree-P3,0.1394239336403645
Theta-Cz-O2,0.1271669105833855
Alpha-P4-T8,0.12288438195262755
Theta-global efficiency-Cz,0.10568171380671366
Alpha-F4-C3,0.104562006447697
Theta-path length-Cz,0.09695079341338257
Alpha-betweenness centrality-T7,0.09624672330954913
Theta-F4-O2,0.09410441051836449
Beta-degree-C4,0.08912386218788214
Theta-within module degree-C3,0.08837278460822856
Theta-C4-F3,0.08538760117938084
Beta-C4-O2,0.08280260872038277
Beta-participation-F8,0.08197546587305006
Beta-global efficiency-F7,0.07715326252925216
Gamma-participation-T8,0.07625037356285101
Beta-clustering coefficient-F7,0.06853248354929757
Alpha-eccentricity-F3,0.061667203797764907
Theta-T7-F7,0.05974682969655834
Beta-local efficiency-F7,0.052142943312069284
Beta-betweenness centrality-P8,0.05147301174233504
Beta-Cz-C3,0.05131355245573329
Gamma-within module degree-P7,0.050215936991303375
Delta-P4-C3,0.04862350761506454
Theta-triangles-Fp1,0.048199169360180906
Alpha-path length-O1,0.04699287736270539
Alpha-C4-T8,0.0425963469752929
Beta-participation-C4,0.04194113637563328
Alpha-eccentricity-Fp1,0.04163736556485262
Delta-degree-Fz,0.04115902189318033
Alpha-global efficiency-O1,0.04025497830090424
Theta-strength-T7,0.03905673079287866
Theta-local efficiency-T7,0.03877326593841763
Beta-Cz-O2,0.03781746727953267
Gamma-Fp1,0.037708962161365954
Theta-P4-P8,0.037621475823835515
Delta-betweenness centrality-P4,0.03661061706334521
Theta-betweenness centrality-F3,0.036063202410384486
Gamma-betweenness centrality-P7,0.034992794020248005
Theta-F3-O1,0.03434916904683655
Theta-clustering coefficient-Fp1,0.03232904795037793
Theta-P8-F7,0.030292277051333655
Theta-C3-F3,0.029037219102050375
Theta-degree-P4,0.02724789760073436
Theta-global efficiency-T7,0.02680965504133999
Delta-C4-F3,0.026636593524937864
Delta-degree-P4,0.026208963735070086
Gamma-Fz-F8,0.024215168652062243
Gamma-Fz-C3,0.02181951628291982
Theta-C4-T7,0.020022921973608925
Beta-participation-Fp1,0.016576090459550205
Theta-clustering coefficient-T7,0.014932815259828869
Theta-Fp2-T7,0.010663843586358569
Theta-F8-O1,0.0009035490852505956
Alpha-eccentricity-Cz,0.0
Theta-Fp1,0.0
Beta-degree-Fp1,0.0
Alpha-Fp1,0.0
Alpha-clustering coefficient-O1,0.0
Beta-participation-P7,0.0
Delta-F4-F3,0.0
Alpha-eccentricity-F8,0.0
Alpha-eccentricity-O1,0.0
Delta-Pz-Fz,0.0
Theta-F8-P7,0.0
Theta-T8-T7,0.0
Theta-F3-T7,0.0
Theta-C4-F8,0.0
Theta-P4-T7,0.0
Theta-P4-F8,0.0
Delta-degree-F4,0.0
Delta-path length-P3,0.0
Delta-within module degree-Fz,0.0
Theta-degree-T7,0.0
Theta-strength-Cz,0.0
Theta-path length-T7,0.0
Theta-local efficiency-Fp1,0.0
Theta-clustering coefficient-F8,0.0
Theta-betweenness centrality-Cz,0.0
Theta-closeness centrality-T7,0.0
Theta-within module degree-C4,0.0
Alpha-eccentricity-T7,0.0
Theta-triangles-T7,0.0
