,,,0,,,,,,,,,,,,,,,
Alpha-within module degree-F3,,1,0.255791525,1,,,,,0,,,,,,,,,
Theta-F4-P8,,,0.236669429,,,,,,,,,,,,,,,
Beta-P7-Fp1,,,0.217508008,,,,,,,,,,,,,,,
Theta-global efficiency-Cz,1,2,0.191984574,,,,,,,,,,,,,,,
Alpha-F4-C3,,,0.185188753,,,,,,,,,,,,,,,
Gamma-within module degree-P3,,3,0.183692948,2,,,,,,0,,,,,,,,
Theta-betweenness centrality-F3,2,4,0.166132725,3,,,,,0,,,,,,,,,
Alpha-P4-T8,,,0.162674551,,,,,,,,,,,,,,,
Theta-Cz-O2,,,0.156188065,,,,,,,,,,,,,,,
Theta-path length-Cz,3,5,0.14828549,,,,,,,,,,,,,,,
Theta-within module degree-C3,4,6,0.145757412,4,,,,,,,,,,,,,,
Beta-participation-F8,,7,0.145473592,,,,,,,,,,,,,,,
Theta-F4-O2,,,0.144069119,,,,,,,,,,,,,,,
Theta-strength-Cz,5,8,0.134135486,,,,,,,,,,,,,,,
Gamma-participation-T8,,9,0.129683475,,,,,,,,,,,,,,,
Beta-degree-C4,,10,0.123648503,,,,,,,,,,,,,,,
Beta-betweenness centrality-P8,,11,0.117023032,,,,,,,,,,,,,,,
Theta-T7-F7,,,0.116218723,,,,,,,,,,,,,,,
Theta-C4-F3,,,0.115696144,,,,,,,,,,,,,,,
Theta-clustering coefficient-T7,6,12,0.111256497,5,0,,,,,,,,,,,,,
Theta-Fp2-T7,,,0.107187051,,,,,,,,,,,,,,,
Beta-C4-O2,,,0.105527686,,,,,,,,,,,,,,,
Delta-betweenness centrality-P4,,13,0.104644109,,,,,,,,,,,,,,,
Gamma-within module degree-P7,,14,0.099821422,6,,,,,,,,,,,,,,
Theta-T8-T7,,,0.099234691,,,,,,,,,,,,,,,
Alpha-betweenness centrality-T7,,15,0.094255093,7,0,,,,,,,,,,,,,
Alpha-C4-T8,,,0.093092883,,,,,,,,,,,,,,,
Alpha-eccentricity-Fp1,,16,0.092475556,8,,,,,,,,,,,,,,
Theta-P8-F7,,,0.090155,,,,,,,,,,,,,,,
Theta-C3-F3,,,0.089427554,,,,,,,,,,,,,,,
Beta-participation-C4,,17,0.088703566,,,,,,,,,,,,,,,
Delta-P4-C3,,,0.088529837,,,,,,,,,,,,,,,
Theta-strength-T7,7,18,0.085456022,9,0,,,,,,,,,,,,,
Theta-F8-O1,,,0.084097851,,,,,,,,,,,,,,,
Beta-global efficiency-F7,,19,0.08307763,10,,0,,,,,,,,,,,,
Alpha-global efficiency-O1,,20,0.08273395,11,,,,0,,,,,,,,,,
Theta-P4-P8,,,0.082549267,,,,,,,,,,,,,,,
Theta-local efficiency-T7,8,21,0.080211082,12,0,,,,,,,,,,,,,
Gamma-Fz-C3,,,0.080132817,,,,,,,,,,,,,,,
Delta-degree-Fz,,22,0.079523938,,,,,,,,,,,,,,,
Theta-degree-P4,9,23,0.078719045,,,,,,,,,T7,F7,Fp1,O1,F3,P3,C3
Gamma-Fz-F8,,,0.077674458,,,,,,,,delta,8,,,,,1,
Beta-local efficiency-F7,,24,0.076572347,13,,0,,,,,theta,,,2,,1,,1
Delta-degree-P4,,25,0.075103421,,,,,,,,alpha,2,,,4,2,,
Theta-clustering coefficient-Fp1,10,26,0.073706202,14,,,,,,,beta,,3,2,,,,
Beta-clustering coefficient-F7,,27,0.072727659,15,,0,,,,,gamma,,,,,,1,
Theta-global efficiency-T7,11,28,0.064341521,16,0,,,,,,total,10,3,4,4,3,2,1
Delta-C4-F3,,,0.062800501,,,,,,,,,,,,,,,
Beta-Cz-C3,,,0.062196849,,,,,,,,,51,32,19,,,,
Theta-Fp1,,,0.05914743,,,,,,,,,,,,,,,
Gamma-betweenness centrality-P7,,29,0.057636771,17,,,,,,,,,,,,,,
Alpha-path length-O1,,30,0.05684117,18,,,,0,,,,,,,,,,
Beta-Cz-O2,,,0.05500757,,,,,,,,,,,,,,,
Theta-degree-T7,12,31,0.049992993,19,0,,,,,,,,,,,,,
Theta-F3-O1,,,0.047868434,,,,,,,,,,,,,,,
Gamma-Fp1,,,0.047855642,,,,,,,,,,,,,,,
Delta-path length-P3,,32,0.046592739,20,,,,,,0,,,,,,,,
Alpha-clustering coefficient-O1,,33,0.046410396,21,,,,0,,,,,,,,,,
Beta-participation-Fp1,,34,0.045805179,22,,,0,,,,,,,,,,,
Delta-F4-F3,,,0.044056093,,,,,,,,,,,,,,,
Theta-triangles-Fp1,13,35,0.044042744,23,,,0,,,,,,,,,,,
Alpha-eccentricity-F3,,36,0.039827903,24,,,,,0,,,,,,,,,
Theta-within module degree-C4,14,37,0.037318222,,,,,,,,,,,,,,,
Theta-local efficiency-Fp1,15,38,0.034210867,25,,,0,,,,,,,,,,,
Alpha-Fp1,,,0.033685371,,,,,,,,,,,,,,,
Delta-within module degree-Fz,,39,0.033449184,,,,,,,,,,,,,,,
Beta-participation-P7,,40,0.030985207,26,,,,,,,,,,,,,,
Alpha-eccentricity-F8,,41,0.029214854,,,,,,,,,,,,,,,
Theta-P4-T7,,,0.027175187,,,,,,,,,,,,,,,
Delta-degree-F4,,42,0.025720528,,,,,,,,,,,,,,,
Theta-F8-P7,,,0.025379075,,,,,,,,,,,,,,,
Beta-degree-Fp1,,43,0.025254895,27,,,0,,,,,,,32,,,,
Theta-C4-F8,,,0.023730614,,,,,,,,,,85,51,,,,
Alpha-eccentricity-Cz,,44,0.020500459,,,,,,,,,,,,,,,
Theta-closeness centrality-T7,16,45,0.018800378,28,0,,,,,,,,,,,,,
