,0
Alpha-participation-P3,0.6986880102115722
Beta-strength-O2,0.574838306884286
Alpha-within module degree-P7,0.43223289714227425
Beta-clustering coefficient-P4,0.4222048398739724
Gamma-triangles-Fp2,0.3946897305668558
Delta-O2-F8,0.36050389181172243
Delta-clustering coefficient-C4,0.339273282415471
Theta-Fz,0.3189477489311983
Beta-clustering coefficient-Fp2,0.29078196823539487
Theta-F4,0.2733990625345904
Delta-F3-F8,0.2678925816979027
Gamma-C4,0.2670081195705554
Gamma-Pz,0.26464754771985216
Alpha-T7,0.26411993365747904
Gamma-C3,0.26016031521095745
Gamma-P4,0.2575635936867739
Delta-C3-F8,0.24073438391328236
Gamma-Fz-O1,0.23681814479184427
Theta-Cz,0.22580164282787032
Gamma-P3,0.22039728782945767
Delta-P4-F4,0.2196960128392973
Delta-F8-Fp2,0.21435988022850058
Alpha-P3-Fp1,0.20799854869775716
Delta-betweenness centrality-F4,0.198670455533688
Alpha-F3,0.1967439518346846
Delta-participation-F4,0.19110656214316826
Theta-F3,0.1904887950749883
Beta-triangles-P8,0.1859841258317266
Beta-clustering coefficient-Fp1,0.18350935153622538
Theta-F8,0.18190330024098764
Alpha-participation-P7,0.17235727411314913
Beta-P3-P8,0.16620471252277205
Beta-C3,0.16332522835006158
Gamma-F4-Fp1,0.1597246164663522
Beta-F3,0.15766523422498435
Alpha-within module degree-C4,0.1545861879480492
Beta-local efficiency-P4,0.15007635889901738
Theta-Fp2,0.14748581988768952
Theta-Cz-O2,0.14566457869189475
Alpha-Pz-P7,0.14141854953689573
Beta-triangles-F8,0.1401071066359795
Beta-P3,0.1383191494897225
Beta-local efficiency-F8,0.13457939008035766
Alpha-Fp2,0.13425514888408238
Gamma-Fz-C3,0.13392047672135998
Alpha-Pz-P3,0.13215849429261048
Alpha-Fz,0.1291475727711471
Beta-eccentricity-F3,0.12832693242793144
Beta-triangles-O2,0.1279326010442343
Beta-Pz-P3,0.12255544572990369
Beta-Fz,0.12149994119168163
Theta-Pz,0.11854750402140317
Delta-P4-Fp2,0.11844785578383547
Theta-F7,0.11134388929753099
Delta-within module degree-T7,0.10818815003875241
Beta-P4,0.10378433071879345
Gamma-degree-P4,0.10200379719303847
Theta-P3,0.10021798115462706
Alpha-Fp1,0.09987594840535456
Beta-O2,0.09830544183447859
Gamma-P8,0.0927837278538936
Beta-closeness centrality-O2,0.09228427104206756
Beta-triangles-P4,0.09174816539761839
Gamma-T7,0.0896896368301946
Beta-O1,0.08958768689794615
Alpha-F8,0.08855322651768222
Beta-P8,0.08610531953874712
Beta-eccentricity-Fp2,0.08447353626216808
Alpha-P3-Fp2,0.08419301128951849
Beta-F7,0.0832399421301572
Beta-closeness centrality-P4,0.08301644796652426
Delta-P4-F8,0.08120222221268758
Alpha-P7-F7,0.07917952913504823
Beta-C3-O2,0.0758340702330599
Alpha-global efficiency-P7,0.07534689575032481
Alpha-F4,0.07356175300296759
Gamma-P7-Fp1,0.07278545841523487
Beta-triangles-F4,0.0725967056975477
Beta-degree-P8,0.07202439440510831
Beta-Pz-C3,0.07153690236718231
Alpha-F7,0.07077695346297791
Theta-Pz-P3,0.06987376553777908
Beta-clustering coefficient-F8,0.06959783812823873
Theta-C3,0.06722026323678455
Theta-C3-Fp1,0.06664243289693315
Alpha-Fp2-P7,0.06639042907666422
Beta-global efficiency-P4,0.06412883978281725
Beta-clustering coefficient-O2,0.06325770161833622
Beta-closeness centrality-F4,0.06218554091381202
Alpha-Cz,0.06057930754692897
Delta-C4-F4,0.060069704401590686
Theta-C4,0.05964251806100126
Alpha-local efficiency-P7,0.05711629387824427
Beta-Cz,0.05698541670773094
Beta-global efficiency-O2,0.05690903502002568
Beta-Pz,0.0545994806638248
Theta-Cz-P4,0.053696018905675914
Beta-path length-P4,0.051618932757858484
Theta-within module degree-T7,0.05139706718588063
Theta-P7,0.051279263874926574
Beta-C4,0.05053860339136922
Beta-T7,0.04971221487517508
Theta-triangles-F7,0.04937022244535653
Beta-strength-P4,0.048647519426641354
Theta-Fp1,0.04843094239680803
Delta-within module degree-Fp2,0.045667531365035395
Beta-F4-T7,0.04455889317593705
Beta-F4-O2,0.042742316856837485
Beta-P4-C3,0.04187964364526727
Gamma-clustering coefficient-P3,0.04081494007025171
Gamma-Cz,0.040766265911426264
Alpha-strength-P7,0.040343202110737164
Beta-local efficiency-O2,0.03976213891391607
Theta-O2,0.03960636962579516
Theta-P4,0.0373196218046282
Gamma-Fz,0.037268214227200225
Theta-T7,0.03489839755613921
Theta-O1,0.03345806304506108
Alpha-F3-P7,0.03066342870464236
Beta-clustering coefficient-F7,0.029398578646276055
Beta-P7,0.02653301689768493
Beta-F4,0.02112722524839787
Theta-P8,0.015073328767656177
Beta-clustering coefficient-T8,0.010599348091998648
Beta-T8,0.0
