,0
Alpha-participation-P3,0.016554150025117037
Delta-C3-F8,0.015122975646394421
Delta-P4-F8,0.011534847710290052
Alpha-participation-P7,0.010431076423484098
Delta-P4-Fp2,0.009550016586420905
Theta-C3-Fp1,0.00923320922047899
Delta-F3-F8,0.00918088733394343
Theta-Cz-P4,0.00842756165309473
Alpha-T7,0.008164367153852216
Beta-triangles-P8,0.008029127721594405
Gamma-triangles-Fp2,0.0076050415406994825
Beta-clustering coefficient-Fp2,0.007539593259694306
Beta-degree-P8,0.00753791051022604
Delta-participation-F4,0.00734350812725584
Alpha-Fz,0.007240494344613755
Theta-Cz-O2,0.006860143943009062
Gamma-degree-P4,0.0068493185704654345
Beta-Pz-P3,0.006825704390132803
Gamma-C3,0.0067759657747458275
Alpha-Cz,0.006694596447209392
Gamma-Fz-C3,0.006666687456377984
Delta-betweenness centrality-F4,0.0064973264741165
Alpha-within module degree-P7,0.006490225724869537
Gamma-P7-Fp1,0.006451712273982175
Beta-eccentricity-Fp2,0.006377763483268693
Alpha-F4,0.00636057649234786
Gamma-Fz-O1,0.006226975582112686
Gamma-C4,0.006116398847603809
Delta-P4-F4,0.006052635191287673
Alpha-Fp2,0.006025247857947117
Alpha-F8,0.005994267215571601
Beta-Cz,0.005849387339639255
Beta-Fz,0.005758051385917978
Delta-O2-F8,0.005727642079628483
Theta-T7,0.005716153317787814
Alpha-F3,0.005400270429614715
Beta-clustering coefficient-F8,0.005374596067711753
Beta-P3-P8,0.005222999089399684
Beta-P4-C3,0.0051185584272115175
Beta-C3,0.00505156623913186
Alpha-Pz-P3,0.0049509090160087905
Delta-clustering coefficient-C4,0.004838563344962289
Gamma-Cz,0.004793910492851463
Beta-clustering coefficient-P4,0.0047509507280973275
Beta-eccentricity-F3,0.0046697933276746316
Beta-T8,0.00462845987223177
Theta-Cz,0.004599101277155009
Alpha-F7,0.004557546771107383
Alpha-Fp1,0.004491458301277153
Theta-within module degree-T7,0.004476345552472186
Theta-Pz,0.004240356208116748
Theta-O1,0.004236074286676693
Beta-triangles-O2,0.0042342000663008784
Beta-F4-T7,0.004165843143854165
Beta-F4,0.004152626458664585
Theta-P3,0.004122142382650967
Beta-C4,0.004091912210183042
Beta-triangles-P4,0.004075629278302783
Beta-F3,0.003923672228924417
Beta-Pz-C3,0.003889081656744772
Beta-triangles-F8,0.0038722159395306595
Beta-Pz,0.0038329830690935402
Gamma-clustering coefficient-P3,0.0038319191543916904
Delta-F8-Fp2,0.0037933653489235723
Delta-C4-F4,0.00375087373274037
Beta-local efficiency-F8,0.0037357314310881456
Beta-clustering coefficient-T8,0.003733467587774707
Alpha-P7-F7,0.0037090112196827164
Gamma-T7,0.0036813113139158413
Theta-P7,0.003668406055199516
Beta-C3-O2,0.0036186649700362533
Gamma-P3,0.003541584044657454
Gamma-Fz,0.0035161880054873566
Gamma-Pz,0.0035073549497099932
Beta-strength-P4,0.0034745875015045648
Alpha-within module degree-C4,0.0033963488256399756
Theta-F8,0.0032908898875713007
Beta-strength-O2,0.003204769820023811
Theta-P4,0.0031801724395974407
Delta-within module degree-Fp2,0.0031780292091107974
Alpha-Pz-P7,0.003173552101415567
Gamma-F4-Fp1,0.0031101303229156183
Theta-P8,0.00301980757788169
Gamma-P4,0.0029747195536691303
Theta-F7,0.0029741464771681964
Beta-closeness centrality-P4,0.0029666714670866915
Beta-path length-P4,0.002963932750474594
Beta-local efficiency-P4,0.002927431488948457
Theta-triangles-F7,0.0029215583420450874
Delta-within module degree-T7,0.002906203644817793
Beta-P3,0.002870448529060834
Beta-clustering coefficient-O2,0.0028507946407617443
Theta-F4,0.0028460464266862554
Beta-P4,0.0027873302857965667
Gamma-P8,0.0027817995342734607
Beta-triangles-F4,0.002781673305456781
Alpha-Fp2-P7,0.002757255689325917
Beta-closeness centrality-F4,0.002752896163947276
Beta-F7,0.0027269034022778024
Beta-clustering coefficient-Fp1,0.002713608142616482
Beta-clustering coefficient-F7,0.002712261967185736
Alpha-global efficiency-P7,0.0026837401856823376
Theta-O2,0.002683134034370108
Alpha-strength-P7,0.0026579087517182715
Alpha-P3-Fp1,0.0026495578732413927
Theta-Fz,0.0024970147664528037
Theta-Fp2,0.0024832674275111002
Beta-global efficiency-P4,0.002480125224412483
Alpha-local efficiency-P7,0.002415204415239252
Beta-closeness centrality-O2,0.002398646037927036
Beta-P8,0.0023718461723537384
Beta-O2,0.002290145286280982
Theta-F3,0.0022296580456345537
Theta-Pz-P3,0.002224015707838728
Beta-global efficiency-O2,0.002202153102997905
Beta-F4-O2,0.002108031002167627
Alpha-P3-Fp2,0.0020954351178733093
Beta-local efficiency-O2,0.0020619284099999986
Beta-O1,0.002032266186277281
Theta-C3,0.0019779442441080586
Theta-Fp1,0.0019593180501146033
Theta-C4,0.0018894486599128674
Beta-P7,0.001846287650064893
Alpha-F3-P7,0.0018398766676850935
Beta-T7,0.0017682651405779763
