,0
Alpha-within module degree-P7,0.8820221943642429
Beta-C3,0.8246110701639507
Theta-Fz,0.8228841779664263
Gamma-triangles-Fp2,0.7846271964032212
Delta-F8-Fp2,0.6900988964338709
Gamma-F4-Fp1,0.6620395255017405
Delta-betweenness centrality-F4,0.600757220214173
Beta-strength-O2,0.5622894880181311
Delta-clustering coefficient-C4,0.5355222796596875
Alpha-participation-P3,0.4595666598346264
Theta-F3,0.4420434653687711
Beta-closeness centrality-F4,0.34711726400957654
Alpha-T7,0.3446548185779819
Gamma-Pz,0.3377476016651622
Alpha-F3,0.31711779338798257
Delta-C3-F8,0.27965015177027547
Gamma-Fz-O1,0.2762249603081988
Delta-F3-F8,0.2687252763773171
Beta-triangles-P8,0.26143939702618885
Alpha-within module degree-C4,0.25071721703559696
Theta-Pz-P3,0.23629568226847417
Beta-clustering coefficient-Fp1,0.22898313550999397
Beta-eccentricity-F3,0.2252552819385505
Alpha-Pz-P7,0.1993040283005835
Theta-Cz,0.18800913648709996
Delta-O2-F8,0.18452155841879328
Gamma-P4,0.18441585082780212
Beta-clustering coefficient-P4,0.18188031109877534
Beta-Pz-P3,0.179597834773792
Gamma-C3,0.16202546798383582
Delta-P4-Fp2,0.16048336982315484
Delta-C4-F4,0.15948132171275733
Beta-triangles-F4,0.15518576034609094
Beta-P3-P8,0.15514840010074687
Beta-C4,0.14749062701427437
Beta-local efficiency-P4,0.14265410548590285
Theta-Cz-O2,0.1310442803239058
Beta-C3-O2,0.1229706973081227
Gamma-P3,0.11887836679495863
Alpha-participation-P7,0.09789821579844965
Beta-closeness centrality-P4,0.0975438684955756
Beta-local efficiency-F8,0.08998945152169135
Alpha-Cz,0.0894632285384553
Beta-triangles-O2,0.08876929108786336
Gamma-Fz-C3,0.08538342126596382
Theta-C3,0.08483350152806428
Delta-participation-F4,0.0787707001175731
Theta-F4,0.07573294382337555
Beta-O2,0.07127154561268988
Theta-C3-Fp1,0.07001422841796208
Gamma-P7-Fp1,0.060993243921238366
Beta-Pz-C3,0.05985716249306858
Beta-degree-P8,0.05308417597932075
Alpha-F7,0.04950843776991554
Beta-P4-C3,0.04453358721479516
Theta-triangles-F7,0.04353403061781514
Theta-F8,0.036669662098932736
Beta-O1,0.030897431520046783
Gamma-T7,0.029564537013301816
Alpha-Fp1,0.02857387721877239
Theta-Cz-P4,0.02831164912989592
Alpha-F3-P7,0.027439141041138423
Alpha-Fp2,0.02732920234296402
Delta-P4-F4,0.026941949786492465
Gamma-Cz,0.026723721277205948
Beta-closeness centrality-O2,0.02619744912771528
Beta-clustering coefficient-T8,0.022649065312630178
Beta-clustering coefficient-Fp2,0.021978943978813583
Delta-P4-F8,0.01684977659685164
Gamma-P8,0.01518721745374167
Delta-within module degree-Fp2,0.0
Beta-F3,0.0
Delta-within module degree-T7,0.0
Beta-P8,0.0
Beta-T8,0.0
Beta-F7,0.0
Beta-P7,0.0
Beta-T7,0.0
Beta-P3,0.0
Theta-within module degree-T7,0.0
Alpha-Fz,0.0
Alpha-P7-F7,0.0
Beta-P4,0.0
Beta-F4,0.0
Alpha-Fp2-P7,0.0
Alpha-strength-P7,0.0
Beta-Fz,0.0
Beta-Cz,0.0
Beta-Pz,0.0
Beta-F4-O2,0.0
Beta-F4-T7,0.0
Alpha-Pz-P3,0.0
Gamma-C4,0.0
Alpha-P3-Fp2,0.0
Gamma-Fz,0.0
Alpha-F4,0.0
Beta-clustering coefficient-F7,0.0
Alpha-F8,0.0
Beta-clustering coefficient-F8,0.0
Beta-clustering coefficient-O2,0.0
Beta-local efficiency-O2,0.0
Alpha-P3-Fp1,0.0
Gamma-degree-P4,0.0
Gamma-clustering coefficient-P3,0.0
Theta-Fp1,0.0
Theta-F7,0.0
Theta-T7,0.0
Theta-P7,0.0
Theta-O1,0.0
Theta-Fp2,0.0
Beta-global efficiency-P4,0.0
Theta-P8,0.0
Theta-O2,0.0
Beta-global efficiency-O2,0.0
Beta-path length-P4,0.0
Theta-P3,0.0
Beta-eccentricity-Fp2,0.0
Theta-C4,0.0
Theta-P4,0.0
Beta-triangles-P4,0.0
Beta-triangles-F8,0.0
Theta-Pz,0.0
Beta-strength-P4,0.0
Alpha-local efficiency-P7,0.0
Alpha-global efficiency-P7,0.0
