,0
Alpha-participation-P3,3.323454859155008
Delta-F8-Fp2,2.6676350118262935
Delta-clustering coefficient-C4,2.6464731079946113
Delta-participation-F4,2.235037423738518
Delta-C3-F8,2.1976926907360297
Delta-O2-F8,2.1553212305033402
Gamma-Fz-O1,2.104075582465495
Theta-P8,1.8619371469286523
Beta-C3,1.658321082397926
Theta-F7,1.644807006821023
Theta-within module degree-T7,1.6422507048148713
Theta-Cz-O2,1.6354495765115846
Delta-P4-F8,1.630771794290198
Alpha-within module degree-C4,1.5921055200288432
Gamma-P8,1.5401909376093545
Beta-clustering coefficient-Fp2,1.4541902524570338
Beta-clustering coefficient-F7,1.4533948661146645
Alpha-participation-P7,1.4441530665942122
Alpha-T7,1.3831992262913706
Beta-C4,1.3660059804641136
Gamma-Fz-C3,1.3426111629010054
Theta-Cz-P4,1.340010509411946
Alpha-F3-P7,1.2897627096520863
Delta-within module degree-T7,1.2695459684506376
Beta-F4,1.1240571988608707
Beta-clustering coefficient-P4,1.1021632582953567
Alpha-Fz,1.062375047021173
Theta-Fz,1.0361555764375274
Alpha-F7,1.0237217537583232
Beta-clustering coefficient-F8,1.0187699653269557
Beta-Pz-P3,1.014958008982244
Beta-clustering coefficient-O2,1.0147011505852237
Alpha-Fp2-P7,1.0031497618975334
Gamma-triangles-Fp2,0.9789315695139608
Alpha-Cz,0.9442298752277422
Alpha-Pz-P7,0.9420562272137429
Beta-local efficiency-F8,0.9193582351008825
Gamma-C3,0.9082622640434478
Beta-triangles-F8,0.9026121746188834
Beta-P3-P8,0.8844595506897749
Beta-T8,0.8714803277360966
Delta-betweenness centrality-F4,0.8357740430843043
Beta-C3-O2,0.8316050430516849
Beta-eccentricity-Fp2,0.817178215563288
Beta-degree-P8,0.7951223645799107
Gamma-P7-Fp1,0.751773332790513
Alpha-P3-Fp2,0.7491680745575858
Gamma-P3,0.7426675761566593
Beta-Pz,0.7328588802638233
Alpha-within module degree-P7,0.7297082482459828
Beta-triangles-P8,0.7236342814673672
Gamma-F4-Fp1,0.7185710238897345
Beta-P4-C3,0.6915254300356318
Gamma-degree-P4,0.682293471287792
Theta-Cz,0.6741678274545319
Theta-P3,0.6304416641877094
Beta-clustering coefficient-T8,0.5732016458585915
Delta-C4-F4,0.5521899064007562
Beta-F4-T7,0.525613958428076
Delta-F3-F8,0.520588336828523
Beta-clustering coefficient-Fp1,0.5146149520750656
Beta-Fz,0.5140783849681042
Theta-C3-Fp1,0.5090419393743227
Gamma-Fz,0.5078785796332657
Gamma-P4,0.49950146814260954
Alpha-Pz-P3,0.48847514589987767
Beta-O2,0.4547503581416978
Beta-closeness centrality-O2,0.4527848090082986
Gamma-Cz,0.4162879407262306
Beta-O1,0.40443005161959295
Beta-T7,0.3945760963094911
Theta-T7,0.3917612263404237
Alpha-P7-F7,0.38618995370423254
Theta-O1,0.37607051694788235
Theta-Pz-P3,0.33214284537474886
Beta-global efficiency-O2,0.31451500348287564
Delta-P4-Fp2,0.3108782810845235
Beta-triangles-F4,0.2935116863829242
Alpha-local efficiency-P7,0.27858342057483193
Theta-Pz,0.27712643803328035
Beta-P7,0.2765431832988674
Beta-P8,0.26666377988782614
Alpha-F3,0.26293667980104374
Beta-P3,0.2450882058598508
Theta-F4,0.23508772663817526
Beta-triangles-P4,0.22149292189169012
Beta-Cz,0.2181260919424325
Beta-closeness centrality-F4,0.20671705483503233
Gamma-T7,0.19568257900841476
Beta-local efficiency-P4,0.18761885556038993
Beta-F3,0.18452222012449396
Beta-path length-P4,0.17884148436325356
Theta-Fp1,0.1784280334486863
Beta-triangles-O2,0.1558765791486734
Theta-P4,0.1556167384477353
Alpha-F8,0.15387740997619562
Delta-within module degree-Fp2,0.1461294228371606
Alpha-Fp2,0.14355361594308266
Alpha-P3-Fp1,0.1432208377704871
Gamma-C4,0.13667405394752116
Beta-P4,0.12713567446789417
Alpha-strength-P7,0.1261001089961017
Gamma-clustering coefficient-P3,0.12549371819890465
Theta-triangles-F7,0.1201730939444187
Alpha-F4,0.11488882937520899
Theta-C3,0.11467750326756528
Beta-strength-P4,0.11449550558488969
Theta-P7,0.10880408828223033
Theta-Fp2,0.10772307304595556
Beta-F7,0.06916454125634673
Theta-C4,0.0664578086795502
Theta-F3,0.06559962170892665
Theta-F8,0.05921774628472557
Beta-local efficiency-O2,0.05506449953752507
Delta-P4-F4,0.053352215932147916
Beta-global efficiency-P4,0.0465555005210454
Gamma-Pz,0.04027436521904016
Alpha-global efficiency-P7,0.0359255683115687
Theta-O2,0.035501485209734375
Beta-eccentricity-F3,0.0315514391139714
Beta-Pz-C3,0.031182987970400672
Alpha-Fp1,0.025426826248448137
Beta-strength-O2,0.025176940523286926
Beta-F4-O2,0.009612822706529835
Beta-closeness centrality-P4,0.009244705358414816
