,0
Theta-F8,0.01487421902093826
Alpha-F3,0.012805490626108381
Beta-C3,0.012172844419504699
Theta-Cz,0.01191992940372478
Gamma-Pz,0.010530915475400101
Gamma-Fz-O1,0.010157587733568138
Beta-P3,0.00887812769205776
Gamma-C4,0.008491391684479802
Alpha-Fp2,0.00845460868427001
Beta-eccentricity-F3,0.007887533352593535
Gamma-triangles-Fp2,0.0077758695555360455
Gamma-C3,0.007601481854854964
Alpha-Fz,0.00738953161906749
Beta-triangles-O2,0.007286744413000063
Theta-Fz,0.007141351024224741
Alpha-T7,0.006852291456844854
Beta-O1,0.006588642670290967
Alpha-participation-P3,0.0065665847600444955
Theta-F3,0.006345003171529224
Beta-Fz,0.0060813659386382635
Beta-strength-O2,0.005907210190126424
Theta-F4,0.005796418739519911
Beta-clustering coefficient-P4,0.005630655055559156
Alpha-participation-P7,0.005506986602452325
Gamma-P3,0.005441022957874041
Alpha-within module degree-P7,0.005236179794986542
Alpha-Pz-P3,0.005230146240674547
Gamma-P4,0.00515412726852959
Delta-betweenness centrality-F4,0.0050998363370110215
Alpha-Pz-P7,0.005009942563642531
Beta-triangles-F4,0.0048113800129710735
Alpha-Fp1,0.004791324140458357
Theta-Cz-P4,0.004764919195595842
Beta-Pz-P3,0.004726746263641851
Beta-P3-P8,0.004597537402606838
Theta-Pz-P3,0.004367420741850998
Beta-P4-C3,0.004262847383629482
Theta-P7,0.004123963836692754
Alpha-Cz,0.0038589730822108422
Theta-F7,0.0036435729408122023
Beta-closeness centrality-F4,0.003602604513735626
Alpha-P3-Fp2,0.0035493893730876545
Beta-C4,0.0034965051582654238
Beta-eccentricity-Fp2,0.003413878834114472
Theta-Fp2,0.0032586292879464135
Beta-local efficiency-F8,0.003184139651575587
Beta-closeness centrality-O2,0.003180322949259955
Delta-C3-F8,0.003143481641634919
Delta-F3-F8,0.002887668814964994
Delta-O2-F8,0.0028842318506238653
Beta-triangles-P8,0.0027845598386239292
Beta-Pz,0.0027665941507398484
Beta-T8,0.0026951787401002323
Beta-triangles-F8,0.0026171694129305868
Gamma-Fz,0.002606753366066908
Theta-Pz,0.0025854636449869767
Alpha-F3-P7,0.00247302657957012
Gamma-F4-Fp1,0.002326654413205493
Alpha-F8,0.002315974595025077
Beta-P8,0.002257250159953219
Alpha-local efficiency-P7,0.002083376878079596
Theta-C4,0.001957034693273868
Theta-Fp1,0.0018994847048352474
Beta-path length-P4,0.0018471487730490506
Theta-P8,0.0017161518615311426
Gamma-P7-Fp1,0.0016288382456292015
Beta-C3-O2,0.001613503445822679
Beta-Cz,0.00158399358237572
Beta-global efficiency-O2,0.0015464292945610754
Beta-F4,0.0015270632898582775
Theta-C3,0.0014774910846819449
Gamma-P8,0.0014754661743028301
Beta-local efficiency-O2,0.0014492086860507913
Theta-P3,0.0014484743452536717
Delta-F8-Fp2,0.0013581546649889462
Theta-within module degree-T7,0.001307904431176004
Beta-P7,0.001253813882532418
Alpha-within module degree-C4,0.0012148276512311603
Delta-P4-F4,0.0011928813412578553
Delta-within module degree-T7,0.0010824578943072415
Gamma-Fz-C3,0.0010646502620186831
Delta-P4-Fp2,0.0010598199052791412
Gamma-Cz,0.0010271618001881165
Beta-clustering coefficient-O2,0.0010032391499109757
Alpha-P7-F7,0.0009191575235373969
Beta-closeness centrality-P4,0.0009009240080338881
Theta-O1,0.0007750869800975806
Gamma-clustering coefficient-P3,0.0007386525608560312
Beta-F3,0.000685925377186881
Beta-clustering coefficient-Fp2,0.0006297210038986356
Delta-P4-F8,0.0005665204678362575
Beta-clustering coefficient-T8,0.0005571799870045488
Alpha-P3-Fp1,0.0005417507182590623
Beta-clustering coefficient-F8,0.0003845953817349697
Gamma-degree-P4,0.0003325159364953973
Theta-O2,0.0003193023066926575
Beta-O2,0.0
Gamma-T7,0.0
Theta-C3-Fp1,0.0
Alpha-Fp2-P7,0.0
Delta-C4-F4,0.0
Beta-P4,0.0
Beta-F4-T7,0.0
Beta-F4-O2,0.0
Beta-Pz-C3,0.0
Theta-Cz-O2,0.0
Theta-T7,0.0
Delta-clustering coefficient-C4,0.0
Delta-within module degree-Fp2,0.0
Beta-clustering coefficient-F7,0.0
Beta-clustering coefficient-Fp1,0.0
Beta-local efficiency-P4,0.0
Theta-P4,0.0
Beta-global efficiency-P4,0.0
Beta-triangles-P4,0.0
Beta-strength-P4,0.0
Beta-degree-P8,0.0
Alpha-F7,0.0
Alpha-global efficiency-P7,0.0
Alpha-strength-P7,0.0
Alpha-F4,0.0
Theta-triangles-F7,0.0
Delta-participation-F4,0.0
Beta-T7,0.0
Beta-F7,0.0
