,0
Alpha-participation-P3,366.15902975911484
Delta-O2-F8,350.5050857246976
Delta-clustering coefficient-C4,262.378409881801
Gamma-Fz-O1,260.8821789227737
Delta-F8-Fp2,244.01422066820564
Alpha-participation-P7,215.4030862122496
Delta-C3-F8,169.73665128920112
Theta-P8,165.91695715467225
Theta-Cz,163.00895430762765
Delta-P4-F8,162.68440624698283
Alpha-within module degree-C4,161.06080950667481
Delta-within module degree-T7,157.15827870937042
Theta-within module degree-T7,154.3415132162872
Beta-clustering coefficient-P4,151.46863856385974
Gamma-Fz-C3,139.88018824327995
Theta-F7,137.64033212337628
Beta-C3,127.09602006500386
Beta-eccentricity-F3,118.85449467099288
Beta-P3-P8,117.96033943865143
Gamma-C3,115.6132956751345
Theta-C3-Fp1,110.16701452123498
Beta-C4,109.28849027447033
Theta-T7,107.20334497023963
Theta-Cz-P4,105.82929995106419
Delta-C4-F4,105.7960308644635
Beta-F4-T7,99.34273331332427
Gamma-P7-Fp1,97.30867440816412
Beta-triangles-F8,96.51605834767194
Beta-clustering coefficient-Fp1,95.03445211087768
Alpha-P3-Fp2,94.66335096309416
Gamma-triangles-Fp2,93.06219148994778
Beta-C3-O2,92.29157265297114
Alpha-F7,86.06779874723834
Theta-Fz,84.53060924070324
Alpha-F3-P7,82.01612123930124
Alpha-Pz-P3,81.63283043382108
Beta-local efficiency-P4,76.78555302138493
Beta-closeness centrality-O2,76.29121394718145
Delta-F3-F8,73.23139562069038
Gamma-F4-Fp1,68.73492608346386
Alpha-Cz,65.83310658633266
Alpha-Pz-P7,65.43736483202002
Beta-F4,64.29426975073224
Beta-clustering coefficient-O2,63.212417193695934
Alpha-within module degree-P7,62.93651848255152
Beta-local efficiency-F8,61.68929634882439
Beta-Pz-P3,60.75281915924645
Theta-F3,59.844431202645204
Gamma-degree-P4,57.810978777005765
Theta-C4,57.68358530173475
Beta-global efficiency-O2,57.38752880386459
Beta-clustering coefficient-Fp2,54.55224068552449
Beta-Pz,53.69053204053501
Theta-P3,52.24952357629758
Alpha-Fp2-P7,52.16714060141507
Theta-Pz,46.23478600901001
Beta-O2,46.2043648281311
Beta-Fz,45.43838280635861
Beta-triangles-P8,45.27981665719676
Alpha-Fz,44.73631172679175
Theta-Cz-O2,44.649086742096095
Delta-P4-F4,43.27886548927086
Theta-Pz-P3,42.68907047286489
Alpha-F4,42.60290371018445
Beta-O1,42.39614953544041
Beta-T8,39.707520359397485
Delta-P4-Fp2,39.43882370015307
Beta-Pz-C3,38.278018336506825
Gamma-T7,37.988033641026114
Beta-triangles-P4,36.739985784372855
Theta-Fp1,36.255475369317544
Beta-P4-C3,35.499269688013435
Theta-triangles-F7,35.45629166508362
Beta-global efficiency-P4,35.30359946455522
Alpha-T7,33.95438180668026
Gamma-Fz,33.224777415255794
Theta-F8,32.6196880730997
Theta-Fp2,31.85117228427575
Beta-closeness centrality-F4,31.539516386048348
Gamma-P8,31.274585794690626
Beta-path length-P4,30.96973415887548
Beta-degree-P8,29.09013909489666
Beta-clustering coefficient-T8,27.88685649191369
Delta-participation-F4,27.72740154068713
Beta-P8,27.488679692238048
Beta-T7,27.326982254818507
Gamma-P3,27.210511496795124
Theta-O1,26.941332538165057
Alpha-F8,26.87790249854612
Beta-clustering coefficient-F7,25.271185361523354
Gamma-Pz,22.20492907864619
Alpha-P7-F7,21.923351612811544
Beta-strength-O2,21.304072822419855
Theta-F4,20.918180337788147
Gamma-Cz,20.780146233773866
Delta-betweenness centrality-F4,19.582827617353725
Alpha-global efficiency-P7,18.90811841851937
Beta-triangles-O2,18.6951990983611
Alpha-strength-P7,18.104169658134712
Gamma-P4,17.955590765567205
Alpha-Fp1,17.84757552603652
Beta-Cz,17.243649338622202
Beta-P3,15.378745299922068
Alpha-Fp2,15.022279105589085
Gamma-C4,13.433063028973946
Beta-P4,13.33082532945996
Beta-F3,12.27365268629679
Beta-strength-P4,12.160088351389788
Beta-P7,11.138701490968401
Theta-O2,11.066446354222483
Alpha-F3,10.816451991899406
Theta-P4,10.78855896284881
Beta-F4-O2,9.031534848417332
Theta-C3,8.335453312747658
Beta-local efficiency-O2,8.152033690193221
Beta-triangles-F4,7.44340055834786
Beta-clustering coefficient-F8,6.950513419927829
Theta-P7,5.91624550329269
Gamma-clustering coefficient-P3,4.834216035344419
Alpha-local efficiency-P7,4.263101110466454
Beta-F7,4.034667789032012
Beta-closeness centrality-P4,3.2634782694459816
Delta-within module degree-Fp2,2.721584983386394
Beta-eccentricity-Fp2,1.9727572360024153
Alpha-P3-Fp1,0.9264906752509988
