,0
Alpha-participation-P3,0.21982334187306407
Delta-participation-F4,0.15964008536909047
Delta-F8-Fp2,0.15452366206926474
Delta-O2-F8,0.138942977758843
Delta-C3-F8,0.1341848233832286
Delta-clustering coefficient-C4,0.12795753509966312
Alpha-within module degree-C4,0.1274974834112285
Alpha-participation-P7,0.11812784895144259
Delta-P4-F8,0.11771852571475065
Gamma-F4-Fp1,0.11289208780154608
Beta-Pz-P3,0.10212201036508721
Beta-degree-P8,0.09950004847220086
Gamma-P7-Fp1,0.09944728502886357
Gamma-Fz-O1,0.09497914178594423
Beta-eccentricity-Fp2,0.09294228078077153
Theta-P8,0.09282599750479781
Theta-Cz-P4,0.0925805465703186
Theta-within module degree-T7,0.08661187461460397
Theta-C3-Fp1,0.08591550757850676
Alpha-T7,0.0857251254299677
Gamma-degree-P4,0.08565595520121756
Gamma-Fz-C3,0.08531391820849055
Beta-clustering coefficient-Fp2,0.08447516421761773
Theta-Cz-O2,0.078326782978246
Delta-F3-F8,0.07709476288175265
Gamma-triangles-Fp2,0.07580983116241526
Beta-C3,0.07453006524121615
Beta-C4,0.07217361173043055
Delta-C4-F4,0.07105204620209635
Delta-within module degree-T7,0.06943258804541065
Alpha-within module degree-P7,0.06918455521181659
Beta-triangles-P8,0.06891071699928808
Beta-clustering coefficient-P4,0.06856628046378763
Beta-triangles-F8,0.06848585447444916
Theta-F7,0.06780937750604453
Beta-F4-T7,0.06560740679957724
Beta-P4-C3,0.06519015993513265
Alpha-Fz,0.06088150136676971
Beta-Fz,0.060504460744587076
Gamma-C3,0.06025475543579225
Alpha-Pz-P3,0.0598236147887567
Alpha-Pz-P7,0.0582807531422992
Beta-T8,0.055390493668669334
Beta-eccentricity-F3,0.05275125330950919
Delta-P4-F4,0.05221500379592245
Beta-closeness centrality-O2,0.05209011268987785
Beta-clustering coefficient-F7,0.05091291125498712
Gamma-Fz,0.04956551512988058
Delta-P4-Fp2,0.0491865475267245
Alpha-F3-P7,0.04601152299694438
Theta-Fz,0.045580563411161255
Beta-clustering coefficient-Fp1,0.044469149158350985
Alpha-Fp2,0.04322430773342129
Beta-C3-O2,0.04289825598708674
Alpha-Cz,0.04248966522083839
Alpha-local efficiency-P7,0.04238286286864446
Alpha-F7,0.04224624004148194
Gamma-P8,0.04029058916114107
Beta-F4,0.03868321902873608
Theta-T7,0.03778175555234312
Beta-Cz,0.03633264025364075
Theta-Cz,0.03460045093740546
Alpha-F4,0.03350806949060362
Beta-clustering coefficient-F8,0.03306868788050591
Beta-local efficiency-F8,0.03274974641021459
Theta-Fp1,0.030208045885888
Beta-F4-O2,0.02893949122929448
Gamma-P4,0.028764260869459695
Beta-triangles-P4,0.028557401991213663
Alpha-P3-Fp2,0.028490084946673655
Theta-Fp2,0.02767988723943342
Beta-F3,0.027307431078935337
Alpha-F8,0.027114726826443225
Beta-clustering coefficient-O2,0.026936987058148492
Beta-global efficiency-O2,0.02530750944678573
Delta-betweenness centrality-F4,0.02514967214401309
Theta-P3,0.025114048035377024
Beta-P3,0.02501188816884349
Theta-F3,0.02434371835726061
Theta-P4,0.021495543136999414
Alpha-F3,0.02129119234766498
Gamma-Cz,0.020819733448646512
Beta-Pz-C3,0.020462081168718144
Beta-T7,0.020292350115207067
Gamma-clustering coefficient-P3,0.02002643461507441
Gamma-P3,0.019675062243339463
Beta-path length-P4,0.019314630524588365
Alpha-Fp1,0.01813125442531849
Gamma-T7,0.01728142939422672
Beta-P3-P8,0.016269979040693997
Theta-C3,0.015987083445330074
Beta-F7,0.01586553417906506
Beta-O2,0.015800677388383963
Theta-F4,0.015616642358146568
Alpha-Fp2-P7,0.015588408344962433
Beta-O1,0.015562837986488637
Beta-P8,0.015342045068686222
Delta-within module degree-Fp2,0.015133075322712804
Beta-local efficiency-P4,0.014859908809204542
Theta-O2,0.014810000314337041
Gamma-Pz,0.014264843567021545
Theta-Pz-P3,0.014207602682598885
Beta-triangles-O2,0.013608084823782772
Theta-O1,0.013589356474476387
Beta-triangles-F4,0.013003370727886363
Beta-P7,0.012106125288613122
Theta-triangles-F7,0.011953654688918463
Beta-strength-O2,0.011100338849373129
Theta-Pz,0.010049495570229496
Theta-P7,0.009929677909366316
Beta-closeness centrality-P4,0.009256327784705826
Theta-C4,0.009128024488165635
Alpha-global efficiency-P7,0.008965049064986614
Beta-Pz,0.00836303172771127
Theta-F8,0.008233897955419484
Beta-P4,0.008045533216854422
Alpha-P3-Fp1,0.00736727804365818
Gamma-C4,0.006768222458893969
Beta-strength-P4,0.00569276206071528
Alpha-P7-F7,0.004786219186256351
Beta-local efficiency-O2,0.004734301574003008
Beta-closeness centrality-F4,0.004456992881124135
Beta-global efficiency-P4,0.004435876733332222
Alpha-strength-P7,0.0038727398652137284
Beta-clustering coefficient-T8,0.0029261432484275402
