,0
Theta-Fz,0.6657943
Alpha-participation-P3,0.5210075
Beta-C3,0.51411444
Alpha-within module degree-P7,0.43828288
Delta-F8-Fp2,0.3615233
Gamma-F4-Fp1,0.33456585
Theta-F3,0.29246983
Gamma-Pz,0.29088905
Gamma-triangles-Fp2,0.27368388
Alpha-T7,0.27227178
Beta-strength-O2,0.2464319
Delta-betweenness centrality-F4,0.2311247
Beta-local efficiency-F8,0.22095059
Theta-Cz,0.17562632
Alpha-Pz-P7,0.16441065
Delta-clustering coefficient-C4,0.16312146
Delta-C4-F4,0.1598785
Gamma-C4,0.14856942
Beta-P3-P8,0.1416023
Beta-eccentricity-F3,0.13628691
Gamma-P4,0.12263811
Beta-closeness centrality-F4,0.12234486
Beta-Pz-P3,0.10918503
Delta-C3-F8,0.10646003
Gamma-Fz-O1,0.10492436
Beta-triangles-F4,0.09826711
Beta-triangles-P8,0.097099654
Beta-clustering coefficient-P4,0.09146306
Beta-clustering coefficient-Fp2,0.07618391
Gamma-C3,0.074885435
Beta-C3-O2,0.072814554
Alpha-Fp2,0.068702035
Theta-within module degree-T7,0.06838494
Alpha-participation-P7,0.0674753
Gamma-Fz-C3,0.06666912
Delta-participation-F4,0.06548887
Beta-P4-C3,0.065354936
Gamma-T7,0.065199785
Alpha-within module degree-C4,0.06492232
Delta-O2-F8,0.061918437
Delta-P4-Fp2,0.06164938
Alpha-P3-Fp2,0.06058504
Beta-triangles-F8,0.059212316
Theta-Cz-O2,0.053190697
Theta-C3-Fp1,0.03789661
Beta-path length-P4,0.037416365
Alpha-Fp2-P7,0.036241654
Beta-strength-P4,0.03378127
Delta-F3-F8,0.03107278
Alpha-strength-P7,0.028020106
Theta-F4,0.023244387
Alpha-F3-P7,0.022593625
Delta-P4-F4,0.022342866
Beta-triangles-O2,0.022145048
Theta-Pz,0.021356069
Theta-C3,0.017499963
Alpha-F4,0.017488683
Beta-closeness centrality-O2,0.017442228
Gamma-P7-Fp1,0.016686747
Beta-clustering coefficient-T8,0.016213031
Theta-Fp2,0.01564646
Theta-Fp1,0.015149284
Beta-triangles-P4,0.012562454
Beta-C4,0.012101982
Beta-F4-T7,0.011682446
Theta-O1,0.011293214
Gamma-Cz,0.010845645
Alpha-P3-Fp1,0.010738057
Theta-Pz-P3,0.0105527425
Beta-Pz-C3,0.010411217
Beta-F3,0.010388383
Alpha-global efficiency-P7,0.009633895
Beta-clustering coefficient-O2,0.009280664
Beta-Fz,0.009167585
Beta-O1,0.009110852
Alpha-Cz,0.008153911
Gamma-P8,0.007754272
Alpha-P7-F7,0.007656341
Beta-P7,0.0074241334
Gamma-P3,0.007237023
Delta-within module degree-T7,0.0064664166
Gamma-clustering coefficient-P3,0.0062716976
Beta-clustering coefficient-Fp1,0.0060655945
Beta-F4,0.005938254
Alpha-Fz,0.0058222893
Alpha-F3,0.0056908284
Theta-T7,0.005639849
Beta-P4,0.005625688
Theta-C4,0.0053897086
Delta-P4-F8,0.0045962133
Gamma-degree-P4,0.004381063
Beta-T7,0.004062994
Alpha-F8,0.0039525577
Alpha-local efficiency-P7,0.0039343205
Alpha-F7,0.003575735
Beta-eccentricity-Fp2,0.0035464356
Theta-Cz-P4,0.0034532521
Beta-T8,0.003448883
Beta-clustering coefficient-F8,0.0034093068
Theta-F7,0.0032051746
Theta-triangles-F7,0.0031709827
Delta-within module degree-Fp2,0.0028649103
Beta-F7,0.0
Beta-Cz,0.0
Alpha-Pz-P3,0.0
Gamma-Fz,0.0
Theta-P3,0.0
Beta-closeness centrality-P4,0.0
Beta-local efficiency-O2,0.0
Beta-degree-P8,0.0
Theta-P7,0.0
Beta-clustering coefficient-F7,0.0
Beta-Pz,0.0
Theta-P4,0.0
Theta-P8,0.0
Beta-global efficiency-P4,0.0
Beta-global efficiency-O2,0.0
Alpha-Fp1,0.0
Beta-P3,0.0
Beta-F4-O2,0.0
Theta-O2,0.0
Beta-O2,0.0
Beta-P8,0.0
Beta-local efficiency-P4,0.0
Theta-F8,0.0
